model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.972±0.030,0.812±0.048,0.685±0.058,0.685±0.058,0.46±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.969±0.037,0.818±0.046,0.668±0.056,0.668±0.056,0.46±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.969±0.035,0.813±0.046,0.659±0.055,0.659±0.055,0.46±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.962±0.040,0.791±0.051,0.691±0.054,0.691±0.054,0.46±0.08s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.950±0.051,0.726±0.057,0.663±0.068,0.663±0.068,0.46±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.973±0.038,0.800±0.047,0.662±0.052,0.662±0.052,0.46±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.978±0.039,0.774±0.058,0.634±0.052,0.634±0.052,0.46±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.983±0.041,0.746±0.073,0.604±0.052,0.604±0.052,0.45±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.962±0.099,0.780±0.100,0.588±0.043,0.588±0.043,0.44±0.05s
LRGCN,Texas,uniform,0.0,uniform,1.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.932±0.074,0.877±0.079,0.597±0.043,0.597±0.043,0.52±0.09s
