model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.925±0.026,0.750±0.016,0.754±0.012,0.754±0.012,1.18±0.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.940±0.022,0.750±0.016,0.749±0.008,0.749±0.008,1.18±0.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.925±0.026,0.750±0.016,0.754±0.012,0.754±0.012,1.18±0.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.940±0.022,0.750±0.016,0.750±0.008,0.750±0.008,1.19±0.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.936±0.015,0.749±0.022,0.751±0.008,0.751±0.008,9.01±0.73s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.936±0.015,0.749±0.022,0.752±0.009,0.752±0.009,9.97±1.01s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.926±0.029,0.748±0.018,0.750±0.010,0.750±0.010,1.16±0.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.926±0.029,0.748±0.018,0.750±0.010,0.750±0.010,1.16±0.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.915±0.009,0.747±0.020,0.752±0.012,0.752±0.012,6.47±1.81s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.929±0.023,0.747±0.021,0.748±0.010,0.748±0.010,8.81±1.98s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.943±0.015,0.747±0.019,0.750±0.009,0.750±0.009,9.58±2.18s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.915±0.009,0.747±0.020,0.752±0.012,0.752±0.012,8.95±1.16s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.929±0.023,0.747±0.021,0.748±0.010,0.748±0.010,3.44±0.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.942±0.015,0.746±0.019,0.750±0.009,0.750±0.009,1.45±0.11s
