model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.784±0.142,0.620±0.066,0.596±0.062,0.596±0.062,3.89±1.51s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.785±0.143,0.620±0.066,0.596±0.062,0.596±0.062,3.41±1.02s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.762±0.129,0.616±0.065,0.596±0.062,0.596±0.062,2.77±1.27s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.762±0.129,0.616±0.065,0.596±0.062,0.596±0.062,3.91±1.43s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.750±0.159,0.613±0.074,0.585±0.064,0.585±0.064,2.77±1.01s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.750±0.159,0.613±0.074,0.585±0.064,0.585±0.064,3.47±1.27s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.722±0.152,0.609±0.073,0.579±0.057,0.579±0.057,2.73±1.20s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.722±0.152,0.609±0.073,0.579±0.057,0.579±0.057,3.49±1.32s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.732±0.143,0.609±0.058,0.589±0.067,0.589±0.067,3.28±1.16s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.755±0.138,0.609±0.057,0.597±0.070,0.597±0.070,3.59±1.06s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.732±0.143,0.609±0.058,0.589±0.067,0.589±0.067,2.85±1.24s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.755±0.138,0.609±0.057,0.597±0.070,0.597±0.070,3.67±1.11s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.698±0.132,0.607±0.064,0.598±0.068,0.598±0.068,3.15±1.30s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.698±0.132,0.607±0.064,0.598±0.068,0.598±0.068,4.22±1.22s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.699±0.135,0.606±0.064,0.589±0.063,0.589±0.063,2.92±0.97s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.698±0.134,0.606±0.064,0.591±0.063,0.591±0.063,3.45±1.27s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.709±0.136,0.605±0.066,0.590±0.073,0.590±0.073,2.98±1.20s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.709±0.136,0.605±0.066,0.590±0.073,0.590±0.073,2.76±1.08s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.707±0.143,0.600±0.073,0.588±0.072,0.588±0.072,2.68±1.05s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.707±0.143,0.600±0.073,0.588±0.072,0.588±0.072,2.85±0.88s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.686±0.140,0.598±0.067,0.591±0.065,0.591±0.065,2.74±1.30s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.686±0.140,0.598±0.067,0.591±0.065,0.591±0.065,3.14±1.52s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.668±0.146,0.595±0.066,0.589±0.070,0.589±0.070,2.62±1.29s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.667±0.146,0.595±0.066,0.589±0.070,0.589±0.070,3.46±1.62s
Goodie,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.651±0.146,0.589±0.071,0.578±0.066,0.578±0.066,2.17±0.92s
