model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.999±0.004,0.893±0.044,0.754±0.079,0.754±0.079,2.07±0.95s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.996±0.008,0.888±0.044,0.715±0.075,0.715±0.075,2.46±0.38s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.996±0.015,0.886±0.050,0.705±0.100,0.705±0.100,4.04±1.15s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.999±0.006,0.884±0.045,0.713±0.079,0.713±0.079,2.72±0.84s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.996±0.008,0.882±0.047,0.760±0.078,0.760±0.078,2.53±0.78s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.988±0.032,0.881±0.055,0.667±0.093,0.667±0.093,3.87±1.62s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.996±0.009,0.879±0.059,0.666±0.098,0.666±0.098,3.92±1.37s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.990±0.024,0.876±0.049,0.767±0.091,0.767±0.091,2.44±0.87s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.999±0.004,0.874±0.052,0.729±0.096,0.729±0.096,2.78±0.90s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.994±0.016,0.873±0.055,0.707±0.102,0.707±0.102,3.40±0.78s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.994±0.018,0.871±0.057,0.708±0.095,0.708±0.095,2.91±1.34s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.996±0.015,0.866±0.047,0.741±0.064,0.741±0.064,2.33±0.62s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,1.000±0.000,0.865±0.050,0.714±0.086,0.714±0.086,3.23±0.97s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.997±0.015,0.864±0.043,0.711±0.075,0.711±0.075,2.75±1.08s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,1.000±0.000,0.862±0.052,0.763±0.063,0.763±0.063,2.58±0.87s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,1.000±0.000,0.861±0.052,0.756±0.077,0.756±0.077,2.64±0.91s
