model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.985±0.009,0.847±0.018,0.653±0.041,0.653±0.041,22.17±3.66s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.989±0.009,0.844±0.013,0.663±0.038,0.663±0.038,21.66±1.55s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.986±0.010,0.842±0.017,0.664±0.026,0.664±0.026,20.14±2.32s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.983±0.016,0.838±0.020,0.684±0.029,0.684±0.029,20.94±4.67s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.994±0.005,0.826±0.019,0.708±0.010,0.708±0.010,18.17±1.05s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.997±0.004,0.825±0.013,0.712±0.014,0.712±0.014,17.97±5.47s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.992±0.006,0.824±0.014,0.706±0.007,0.706±0.007,14.52±5.41s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.998±0.002,0.822±0.017,0.684±0.018,0.684±0.018,13.65±3.09s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.996±0.002,0.817±0.026,0.695±0.020,0.695±0.020,17.94±2.00s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.995±0.005,0.817±0.012,0.697±0.010,0.697±0.010,14.95±2.29s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.985±0.024,0.817±0.017,0.716±0.014,0.716±0.014,16.82±7.45s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.995±0.002,0.812±0.018,0.680±0.022,0.680±0.022,11.46±6.84s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.993±0.005,0.811±0.017,0.706±0.013,0.706±0.013,14.46±4.34s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.994±0.005,0.810±0.017,0.713±0.009,0.713±0.009,18.04±5.08s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.993±0.004,0.808±0.013,0.710±0.009,0.710±0.009,15.64±5.88s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.992±0.004,0.807±0.015,0.706±0.013,0.706±0.013,19.02±3.47s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.964±0.006,0.806±0.012,0.715±0.011,0.715±0.011,20.80±3.62s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.994±0.003,0.800±0.017,0.695±0.013,0.695±0.013,15.02±3.26s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.982±0.014,0.800±0.017,0.713±0.015,0.713±0.015,20.19±3.72s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.977±0.010,0.800±0.013,0.712±0.020,0.712±0.020,20.07±3.64s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.967±0.007,0.797±0.019,0.703±0.022,0.703±0.022,22.80±2.81s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.995±0.001,0.796±0.021,0.675±0.008,0.675±0.008,18.96±2.64s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.992±0.009,0.796±0.017,0.727±0.009,0.727±0.009,18.50±2.21s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.996±0.002,0.795±0.015,0.693±0.014,0.693±0.014,13.56±2.29s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.994±0.004,0.793±0.011,0.732±0.005,0.732±0.005,14.20±6.71s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.994±0.005,0.792±0.014,0.714±0.013,0.714±0.013,15.66±3.50s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.99,1.0,0.993±0.004,0.790±0.018,0.693±0.010,0.693±0.010,15.61±1.74s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.996±0.004,0.790±0.017,0.680±0.019,0.680±0.019,18.96±3.84s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.99,1.0,0.990±0.005,0.790±0.021,0.679±0.011,0.679±0.011,22.51±10.79s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.995±0.004,0.790±0.016,0.712±0.016,0.712±0.016,19.29±4.10s
