model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.941±0.036,0.898±0.010,0.869±0.015,0.869±0.015,2.18±0.84s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.958±0.038,0.898±0.010,0.869±0.017,0.869±0.017,2.19±0.94s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.952±0.025,0.897±0.009,0.878±0.014,0.878±0.014,0.97±0.12s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.958±0.032,0.897±0.010,0.871±0.018,0.871±0.018,2.73±0.81s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.950±0.027,0.896±0.008,0.878±0.014,0.878±0.014,1.11±0.14s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.957±0.025,0.896±0.007,0.879±0.015,0.879±0.015,1.46±0.33s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.946±0.035,0.896±0.008,0.877±0.017,0.877±0.017,1.48±0.30s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.947±0.030,0.895±0.007,0.876±0.018,0.876±0.018,1.36±0.30s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.956±0.033,0.895±0.009,0.877±0.014,0.877±0.014,1.51±0.13s
LRGCN,Cora,uniform,0.0,uniform,0.0,0.1,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.966±0.029,0.895±0.013,0.866±0.023,0.866±0.023,2.81±1.17s
