model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.984±0.033,0.872±0.038,0.719±0.068,0.719±0.068,1.40±0.41s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.979±0.032,0.871±0.030,0.721±0.048,0.721±0.048,1.18±0.37s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.989±0.020,0.869±0.031,0.711±0.056,0.711±0.056,1.41±0.24s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.981±0.035,0.869±0.031,0.753±0.067,0.753±0.067,1.51±0.48s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.986±0.024,0.867±0.030,0.704±0.060,0.704±0.060,1.33±0.32s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.980±0.034,0.866±0.039,0.676±0.059,0.676±0.059,1.25±0.50s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.980±0.037,0.862±0.035,0.677±0.048,0.677±0.048,0.93±0.40s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.973±0.048,0.854±0.029,0.729±0.059,0.729±0.059,1.32±0.34s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.981±0.037,0.852±0.052,0.735±0.064,0.735±0.064,1.60±0.41s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.981±0.035,0.851±0.051,0.738±0.061,0.738±0.061,1.13±0.41s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.981±0.037,0.850±0.035,0.703±0.050,0.703±0.050,3.38±1.05s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.992±0.025,0.849±0.046,0.733±0.052,0.733±0.052,1.77±0.55s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.984±0.037,0.849±0.036,0.703±0.055,0.703±0.055,3.03±1.12s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.980±0.039,0.846±0.036,0.706±0.056,0.706±0.056,3.31±0.82s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.988±0.020,0.845±0.051,0.742±0.062,0.742±0.062,0.92±0.32s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.984±0.033,0.844±0.041,0.713±0.064,0.713±0.064,1.31±0.64s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.993±0.016,0.844±0.040,0.719±0.062,0.719±0.062,1.71±0.71s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.959±0.075,0.840±0.053,0.717±0.058,0.717±0.058,1.17±0.26s
LRGCN,Texas,uniform,0.0,uniform,0.0,0.3,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.970±0.061,0.839±0.051,0.719±0.057,0.719±0.057,1.00±0.38s
