model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.856±0.114,0.694±0.048,0.638±0.056,0.638±0.056,2.12±0.79s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.856±0.114,0.694±0.048,0.638±0.056,0.638±0.056,1.68±0.77s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.872±0.097,0.694±0.054,0.639±0.060,0.639±0.060,1.88±0.72s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.872±0.097,0.694±0.054,0.639±0.060,0.639±0.060,0.94±0.16s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.851±0.113,0.693±0.048,0.638±0.056,0.638±0.056,1.78±0.89s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.851±0.113,0.693±0.048,0.638±0.056,0.638±0.056,1.77±0.77s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.859±0.112,0.692±0.045,0.641±0.052,0.641±0.052,1.61±0.69s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.859±0.112,0.692±0.045,0.641±0.052,0.641±0.052,1.79±0.62s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.876±0.088,0.692±0.044,0.651±0.059,0.651±0.059,1.61±0.71s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.874±0.090,0.692±0.048,0.652±0.061,0.652±0.061,1.70±0.75s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.876±0.088,0.692±0.044,0.651±0.059,0.651±0.059,0.82±0.18s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.874±0.090,0.692±0.048,0.652±0.061,0.652±0.061,0.79±0.18s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.872±0.089,0.691±0.048,0.653±0.061,0.653±0.061,1.91±0.51s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.872±0.089,0.691±0.048,0.653±0.061,0.653±0.061,0.79±0.18s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.875±0.090,0.690±0.046,0.651±0.059,0.651±0.059,1.88±0.63s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.875±0.090,0.690±0.046,0.651±0.059,0.651±0.059,0.81±0.17s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.866±0.100,0.689±0.048,0.646±0.057,0.646±0.057,1.76±0.76s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.866±0.100,0.689±0.048,0.646±0.057,0.646±0.057,1.71±0.67s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.852±0.092,0.689±0.052,0.629±0.057,0.629±0.057,1.86±0.70s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.852±0.092,0.689±0.052,0.629±0.057,0.629±0.057,0.89±0.16s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.838±0.130,0.685±0.059,0.639±0.057,0.639±0.057,2.05±0.96s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.838±0.130,0.685±0.059,0.639±0.057,0.639±0.057,1.67±0.61s
Goodie,Texas,uniform,0.0,uniform,0.0,0.5,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,1.0,0.836±0.136,0.684±0.061,0.638±0.056,0.638±0.056,2.02±0.91s
