model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.915±0.014,0.845±0.017,0.841±0.014,0.841±0.014,6.67±0.57s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.915±0.014,0.845±0.017,0.841±0.014,0.841±0.014,7.47±1.25s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.910±0.004,0.844±0.017,0.845±0.017,0.845±0.017,7.76±1.25s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.910±0.005,0.843±0.017,0.845±0.017,0.845±0.017,7.07±2.11s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.909±0.008,0.842±0.019,0.846±0.016,0.846±0.016,3.97±0.83s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.909±0.009,0.842±0.019,0.846±0.014,0.846±0.014,3.30±0.74s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.909±0.008,0.842±0.019,0.846±0.016,0.846±0.016,8.99±2.94s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.909±0.009,0.842±0.019,0.846±0.014,0.846±0.014,10.82±3.53s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.908±0.009,0.840±0.017,0.842±0.017,0.842±0.017,6.66±1.27s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.910±0.007,0.840±0.017,0.842±0.018,0.842±0.018,6.90±1.25s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.908±0.009,0.840±0.017,0.842±0.017,0.842±0.017,6.12±1.17s
Goodie,Cora,uniform,0.0,uniform,0.0,0.7,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.910±0.007,0.840±0.017,0.842±0.018,0.842±0.018,6.05±1.50s
