model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.836±0.014,0.852±0.016,0.850±0.010,0.850±0.010,0.83±0.06s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.831±0.009,0.852±0.016,0.850±0.014,0.850±0.014,0.84±0.06s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.836±0.014,0.852±0.016,0.850±0.010,0.850±0.010,0.83±0.06s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.832±0.010,0.851±0.017,0.846±0.006,0.846±0.006,0.91±0.03s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.832±0.010,0.851±0.017,0.846±0.006,0.846±0.006,0.90±0.03s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.845±0.013,0.851±0.016,0.855±0.013,0.855±0.013,0.89±0.10s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.831±0.009,0.851±0.016,0.850±0.014,0.850±0.014,0.84±0.06s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.845±0.013,0.851±0.016,0.855±0.013,0.855±0.013,0.87±0.10s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.843±0.008,0.850±0.015,0.851±0.016,0.851±0.016,1.06±0.09s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.843±0.008,0.850±0.015,0.851±0.016,0.851±0.016,1.10±0.09s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.839±0.007,0.850±0.017,0.852±0.009,0.852±0.009,0.92±0.06s
Goodie,Cora,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.836±0.006,0.850±0.019,0.851±0.007,0.851±0.007,0.90±0.04s
