model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.852±0.008,0.925±0.006,0.926±0.003,0.926±0.003,11.39±1.71s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.849±0.008,0.924±0.007,0.925±0.004,0.925±0.004,7.97±0.70s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.847±0.009,0.924±0.007,0.925±0.004,0.925±0.004,7.57±0.73s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.849±0.009,0.924±0.008,0.925±0.005,0.925±0.005,11.04±2.84s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.849±0.010,0.923±0.005,0.923±0.003,0.923±0.003,10.12±1.28s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.848±0.010,0.922±0.006,0.923±0.002,0.923±0.002,9.39±1.37s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.846±0.007,0.922±0.006,0.920±0.005,0.920±0.005,12.87±2.47s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.845±0.007,0.921±0.006,0.919±0.004,0.919±0.004,12.21±1.70s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.841±0.012,0.918±0.009,0.918±0.003,0.918±0.003,8.46±1.74s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.839±0.010,0.917±0.011,0.916±0.006,0.916±0.006,7.67±0.90s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.843±0.012,0.917±0.011,0.920±0.006,0.920±0.006,11.41±2.33s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.844±0.012,0.916±0.013,0.920±0.006,0.920±0.006,11.04±2.08s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.842±0.008,0.914±0.009,0.915±0.009,0.915±0.009,16.11±2.23s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.841±0.011,0.914±0.009,0.915±0.010,0.915±0.010,16.26±2.28s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.836±0.016,0.911±0.020,0.914±0.018,0.914±0.018,14.19±3.81s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.838±0.009,0.907±0.005,0.909±0.005,0.909±0.005,5.33±0.83s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.838±0.009,0.907±0.005,0.909±0.005,0.909±0.005,5.24±0.83s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.837±0.010,0.907±0.005,0.908±0.004,0.908±0.004,5.57±1.07s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.837±0.010,0.907±0.005,0.908±0.004,0.908±0.004,5.68±1.10s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.836±0.009,0.907±0.009,0.908±0.003,0.908±0.003,11.90±0.77s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.836±0.008,0.907±0.007,0.909±0.007,0.909±0.007,6.19±1.56s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.836±0.008,0.907±0.006,0.908±0.006,0.908±0.006,6.10±1.34s
Goodie,Photo,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.834±0.027,0.907±0.032,0.912±0.027,0.912±0.027,14.59±3.42s
