model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.786±0.005,0.845±0.005,0.845±0.003,0.845±0.003,1.74±0.21s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.784±0.009,0.845±0.005,0.846±0.004,0.846±0.004,2.13±0.32s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.783±0.008,0.845±0.005,0.845±0.004,0.845±0.004,2.05±0.24s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.782±0.004,0.844±0.005,0.844±0.004,0.844±0.004,1.75±0.31s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.785±0.003,0.844±0.005,0.844±0.004,0.844±0.004,1.85±0.27s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.785±0.005,0.844±0.005,0.845±0.003,0.845±0.003,1.74±0.23s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.781±0.006,0.844±0.005,0.842±0.004,0.842±0.004,1.67±0.11s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.784±0.005,0.843±0.005,0.842±0.005,0.842±0.005,1.70±0.13s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.784±0.005,0.843±0.004,0.842±0.005,0.842±0.005,1.74±0.13s
Goodie,Pubmed,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.779±0.004,0.843±0.004,0.843±0.004,0.843±0.004,1.27±0.08s
