model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.819±0.095,0.710±0.054,0.654±0.058,0.654±0.058,0.73±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.824±0.083,0.710±0.053,0.655±0.052,0.655±0.052,0.73±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.827±0.091,0.710±0.061,0.664±0.051,0.664±0.051,0.75±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.817±0.102,0.710±0.052,0.658±0.060,0.658±0.060,0.73±0.10s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.819±0.095,0.710±0.054,0.654±0.058,0.654±0.058,0.73±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.824±0.083,0.710±0.053,0.655±0.052,0.655±0.052,0.73±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.827±0.091,0.710±0.061,0.664±0.051,0.664±0.051,0.75±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.817±0.102,0.710±0.052,0.658±0.060,0.658±0.060,0.74±0.10s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.801±0.102,0.709±0.055,0.662±0.057,0.662±0.057,0.83±0.13s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.801±0.102,0.709±0.055,0.662±0.057,0.662±0.057,0.81±0.13s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.837±0.086,0.707±0.056,0.663±0.057,0.663±0.057,0.77±0.10s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.837±0.086,0.707±0.056,0.663±0.057,0.663±0.057,0.76±0.10s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.818±0.099,0.706±0.053,0.659±0.049,0.659±0.049,0.74±0.09s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.814±0.107,0.706±0.054,0.662±0.048,0.662±0.048,0.76±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.818±0.099,0.706±0.053,0.659±0.049,0.659±0.049,0.73±0.09s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.814±0.107,0.706±0.054,0.662±0.048,0.662±0.048,0.75±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.805±0.099,0.705±0.058,0.655±0.056,0.655±0.056,0.79±0.15s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.788±0.101,0.705±0.062,0.662±0.053,0.662±0.053,0.81±0.17s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.805±0.107,0.705±0.058,0.660±0.055,0.660±0.055,0.81±0.17s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.805±0.099,0.705±0.058,0.655±0.056,0.655±0.056,0.79±0.15s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.788±0.101,0.705±0.062,0.662±0.053,0.662±0.053,0.81±0.17s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.805±0.107,0.705±0.058,0.660±0.055,0.660±0.055,0.81±0.17s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.819±0.089,0.705±0.049,0.663±0.066,0.663±0.066,0.71±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.814±0.098,0.705±0.049,0.658±0.060,0.658±0.060,0.71±0.09s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.819±0.089,0.705±0.049,0.663±0.066,0.663±0.066,0.72±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.814±0.098,0.705±0.049,0.658±0.060,0.658±0.060,0.72±0.10s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.779±0.085,0.704±0.054,0.644±0.057,0.644±0.057,0.75±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.779±0.085,0.704±0.054,0.644±0.057,0.644±0.057,0.75±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.810±0.076,0.703±0.053,0.653±0.049,0.653±0.049,0.79±0.13s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.810±0.076,0.703±0.053,0.653±0.049,0.653±0.049,0.79±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.810±0.091,0.701±0.051,0.652±0.059,0.652±0.059,0.82±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.810±0.091,0.701±0.051,0.652±0.059,0.652±0.059,0.82±0.11s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.812±0.092,0.700±0.056,0.654±0.060,0.654±0.060,0.82±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.812±0.092,0.700±0.056,0.654±0.060,0.654±0.060,0.82±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,1.0,0.816±0.084,0.700±0.054,0.659±0.062,0.659±0.062,0.85±0.08s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,1.0,0.816±0.084,0.700±0.054,0.659±0.062,0.659±0.062,0.84±0.08s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.806±0.089,0.698±0.047,0.646±0.068,0.646±0.068,0.78±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.806±0.089,0.698±0.047,0.646±0.068,0.646±0.068,0.81±0.12s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.808±0.083,0.694±0.051,0.647±0.069,0.647±0.069,0.83±0.09s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.808±0.083,0.694±0.051,0.648±0.071,0.648±0.071,0.82±0.09s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.778±0.132,0.686±0.071,0.646±0.068,0.646±0.068,0.92±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.778±0.132,0.686±0.071,0.646±0.068,0.646±0.068,0.92±0.24s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.754±0.122,0.685±0.088,0.640±0.062,0.640±0.062,0.84±0.20s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.754±0.122,0.685±0.088,0.640±0.062,0.640±0.062,0.82±0.19s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.776±0.123,0.684±0.071,0.656±0.072,0.656±0.072,0.92±0.24s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.776±0.123,0.684±0.071,0.656±0.072,0.656±0.072,0.90±0.24s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.762±0.139,0.681±0.088,0.635±0.064,0.635±0.064,0.85±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.758±0.137,0.681±0.092,0.643±0.069,0.643±0.069,0.89±0.28s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.762±0.139,0.681±0.088,0.635±0.064,0.635±0.064,0.84±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.758±0.137,0.681±0.092,0.643±0.069,0.643±0.069,0.87±0.28s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.755±0.131,0.674±0.089,0.648±0.076,0.648±0.076,0.85±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.755±0.131,0.674±0.089,0.648±0.076,0.648±0.076,0.86±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,1.0,0.754±0.157,0.669±0.076,0.647±0.051,0.647±0.051,0.77±0.26s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,1.0,0.754±0.157,0.669±0.076,0.646±0.051,0.646±0.051,0.78±0.26s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.737±0.118,0.667±0.086,0.648±0.082,0.648±0.082,0.78±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.731±0.130,0.667±0.091,0.638±0.079,0.638±0.079,0.78±0.27s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.737±0.118,0.667±0.086,0.648±0.082,0.648±0.082,0.79±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.731±0.130,0.667±0.091,0.639±0.080,0.639±0.080,0.77±0.27s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.757±0.162,0.667±0.067,0.647±0.072,0.647±0.072,0.77±0.24s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.757±0.162,0.667±0.067,0.647±0.072,0.647±0.072,0.76±0.24s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.721±0.124,0.659±0.089,0.643±0.091,0.643±0.091,0.77±0.26s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.721±0.124,0.659±0.089,0.643±0.091,0.643±0.091,0.75±0.26s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.672±0.151,0.631±0.090,0.613±0.068,0.613±0.068,0.69±0.30s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.673±0.153,0.631±0.090,0.613±0.068,0.613±0.068,0.67±0.29s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,1.0,0.629±0.133,0.606±0.087,0.603±0.089,0.603±0.089,0.58±0.27s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,1.0,0.629±0.133,0.606±0.087,0.603±0.089,0.603±0.089,0.58±0.27s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.594±0.123,0.589±0.062,0.579±0.064,0.579±0.064,0.57±0.25s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.594±0.123,0.589±0.062,0.579±0.064,0.579±0.064,0.57±0.24s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,1.0,0.555±0.102,0.569±0.070,0.579±0.066,0.579±0.066,0.44±0.18s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,1.0,0.553±0.098,0.569±0.068,0.579±0.066,0.579±0.066,0.43±0.15s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,1.0,0.522±0.071,0.557±0.055,0.570±0.077,0.570±0.077,0.39±0.03s
Goodie,Texas,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,1.0,0.522±0.071,0.557±0.055,0.570±0.077,0.570±0.077,0.39±0.03s
