model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.959±0.029,0.871±0.038,0.749±0.071,0.749±0.071,0.31±0.10s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.957±0.035,0.869±0.038,0.737±0.077,0.737±0.077,0.31±0.11s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.966±0.036,0.869±0.038,0.765±0.051,0.765±0.051,0.34±0.13s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.969±0.037,0.869±0.044,0.722±0.061,0.722±0.061,0.44±0.14s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.971±0.037,0.868±0.046,0.719±0.066,0.719±0.066,0.44±0.13s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.964±0.046,0.865±0.051,0.725±0.077,0.725±0.077,0.44±0.15s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.955±0.035,0.862±0.037,0.776±0.063,0.776±0.063,0.31±0.10s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.949±0.039,0.860±0.040,0.773±0.045,0.773±0.045,0.33±0.12s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.952±0.033,0.859±0.038,0.757±0.044,0.757±0.044,0.32±0.10s
LRGCN,Wisconsin,uniform,0.1,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.948±0.038,0.858±0.039,0.760±0.047,0.760±0.047,0.31±0.11s
