model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.430±0.056,0.281±0.010,0.277±0.012,0.277±0.012,2.68±0.46s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.430±0.056,0.281±0.010,0.277±0.012,0.277±0.012,2.72±0.47s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.414±0.038,0.280±0.008,0.274±0.014,0.274±0.014,2.79±0.34s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.414±0.038,0.280±0.008,0.274±0.014,0.274±0.014,2.80±0.35s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.447±0.041,0.279±0.011,0.276±0.011,0.276±0.011,2.80±0.36s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.387±0.057,0.279±0.008,0.274±0.013,0.274±0.013,2.52±0.28s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.417±0.027,0.279±0.007,0.272±0.014,0.272±0.014,2.84±0.30s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.447±0.041,0.279±0.011,0.276±0.011,0.276±0.011,2.82±0.38s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.387±0.057,0.279±0.008,0.274±0.013,0.274±0.013,2.53±0.29s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.417±0.027,0.279±0.007,0.272±0.015,0.272±0.015,2.84±0.31s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.418±0.037,0.278±0.010,0.273±0.012,0.273±0.012,2.67±0.43s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.389±0.061,0.278±0.010,0.275±0.008,0.275±0.008,2.56±0.46s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.418±0.037,0.278±0.010,0.273±0.012,0.273±0.012,2.68±0.42s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.389±0.061,0.278±0.010,0.275±0.008,0.275±0.008,2.57±0.47s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.371±0.037,0.278±0.008,0.275±0.014,0.275±0.014,2.43±0.17s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.371±0.037,0.278±0.008,0.275±0.014,0.275±0.014,2.42±0.17s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.419±0.052,0.277±0.010,0.272±0.011,0.272±0.011,2.59±0.46s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.356±0.075,0.277±0.010,0.273±0.009,0.273±0.009,2.34±0.60s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.430±0.055,0.277±0.007,0.272±0.010,0.272±0.010,3.75±0.19s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.356±0.075,0.277±0.010,0.273±0.009,0.273±0.009,2.33±0.60s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.430±0.055,0.277±0.008,0.271±0.010,0.271±0.010,3.77±0.18s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.405±0.050,0.277±0.006,0.273±0.009,0.273±0.009,2.76±0.38s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.393±0.052,0.277±0.004,0.270±0.012,0.270±0.012,3.40±0.61s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.405±0.050,0.277±0.006,0.273±0.009,0.273±0.009,2.78±0.38s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.399±0.057,0.277±0.004,0.271±0.013,0.271±0.013,3.45±0.61s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.377±0.065,0.276±0.010,0.273±0.008,0.273±0.008,2.53±0.51s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.384±0.048,0.276±0.009,0.273±0.010,0.273±0.010,2.58±0.45s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.410±0.038,0.276±0.010,0.276±0.011,0.276±0.011,2.55±0.35s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.377±0.065,0.276±0.010,0.273±0.008,0.273±0.008,2.55±0.51s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.384±0.056,0.276±0.009,0.270±0.009,0.270±0.009,2.60±0.52s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.448±0.021,0.276±0.006,0.278±0.015,0.278±0.015,3.69±0.18s
Goodie,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.416±0.052,0.276±0.004,0.273±0.019,0.273±0.019,3.66±0.62s
