model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.750±0.018,0.653±0.007,0.270±0.002,0.270±0.002,15.04±0.62s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.745±0.017,0.647±0.009,0.264±0.006,0.264±0.006,14.82±0.52s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.741±0.017,0.647±0.009,0.266±0.007,0.266±0.007,14.51±0.49s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.776±0.010,0.640±0.012,0.279±0.008,0.279±0.008,16.27±1.02s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.767±0.013,0.639±0.009,0.284±0.010,0.284±0.010,7.18±0.68s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.746±0.007,0.638±0.009,0.281±0.012,0.281±0.012,6.91±0.48s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.750±0.014,0.637±0.010,0.281±0.013,0.281±0.013,7.04±0.52s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.732±0.017,0.631±0.008,0.279±0.013,0.279±0.013,8.29±0.53s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.744±0.016,0.631±0.009,0.281±0.013,0.281±0.013,8.32±0.68s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.770±0.016,0.631±0.011,0.285±0.011,0.285±0.011,15.42±1.27s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.769±0.018,0.630±0.011,0.283±0.014,0.283±0.014,15.44±1.15s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.726±0.010,0.629±0.007,0.279±0.013,0.279±0.013,8.11±0.51s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.784±0.018,0.622±0.010,0.285±0.010,0.285±0.010,16.00±0.97s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.807±0.003,0.618±0.009,0.275±0.006,0.275±0.006,8.05±0.62s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.785±0.014,0.611±0.013,0.276±0.010,0.276±0.010,4.73±0.33s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.771±0.017,0.611±0.012,0.278±0.009,0.278±0.009,9.03±0.59s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.771±0.014,0.609±0.012,0.280±0.011,0.280±0.011,4.59±0.40s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.776±0.018,0.609±0.010,0.283±0.012,0.283±0.012,7.56±0.57s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.767±0.018,0.608±0.014,0.286±0.013,0.286±0.013,4.64±0.22s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.786±0.020,0.608±0.010,0.283±0.007,0.283±0.007,7.56±0.36s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.803±0.010,0.603±0.010,0.267±0.011,0.267±0.011,4.96±0.43s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.785±0.020,0.601±0.012,0.282±0.009,0.282±0.009,16.19±1.60s
LRGCN,Actor,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.793±0.029,0.599±0.012,0.281±0.009,0.281±0.009,16.48±1.75s
