model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.902±0.009,0.773±0.009,0.776±0.012,0.776±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.902±0.009,0.773±0.009,0.776±0.012,0.776±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.902±0.009,0.773±0.009,0.776±0.012,0.776±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.902±0.009,0.773±0.009,0.776±0.012,0.776±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.902±0.009,0.773±0.009,0.776±0.012,0.776±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.902±0.009,0.773±0.009,0.776±0.012,0.776±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.996±0.001,0.711±0.019,0.708±0.012,0.708±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.996±0.001,0.711±0.019,0.708±0.012,0.708±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.996±0.001,0.711±0.019,0.708±0.012,0.708±0.012,0.01±0.00s
LP,Cora,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.996±0.001,0.711±0.019,0.708±0.012,0.708±0.012,0.01±0.00s
