model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.372±0.056,0.434±0.078,0.434±0.086,0.434±0.086,0.01±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.372±0.056,0.434±0.078,0.434±0.086,0.434±0.086,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.372±0.056,0.434±0.078,0.434±0.086,0.434±0.086,0.01±0.00s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.372±0.056,0.434±0.078,0.434±0.086,0.434±0.086,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.372±0.056,0.434±0.078,0.434±0.086,0.434±0.086,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.372±0.056,0.434±0.078,0.434±0.086,0.434±0.086,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.452±0.094,0.430±0.077,0.432±0.097,0.432±0.097,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.452±0.094,0.430±0.077,0.432±0.097,0.432±0.097,0.01±0.00s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.452±0.094,0.430±0.077,0.432±0.097,0.432±0.097,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.452±0.094,0.430±0.077,0.432±0.097,0.432±0.097,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.452±0.094,0.430±0.077,0.432±0.097,0.432±0.097,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.452±0.094,0.430±0.077,0.432±0.097,0.432±0.097,0.01±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.973±0.019,0.387±0.077,0.357±0.081,0.357±0.081,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.973±0.019,0.387±0.077,0.357±0.081,0.357±0.081,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.973±0.019,0.387±0.077,0.357±0.081,0.357±0.081,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.973±0.019,0.387±0.077,0.357±0.081,0.357±0.081,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.973±0.019,0.387±0.077,0.357±0.081,0.357±0.081,0.01±0.00s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.973±0.019,0.387±0.077,0.357±0.081,0.357±0.081,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.315±0.078,0.296±0.072,0.296±0.072,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.315±0.078,0.296±0.072,0.296±0.072,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.315±0.078,0.296±0.072,0.296±0.072,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.315±0.078,0.296±0.072,0.296±0.072,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.315±0.078,0.296±0.072,0.296±0.072,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.315±0.078,0.296±0.072,0.296±0.072,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.303±0.080,0.274±0.073,0.274±0.073,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.303±0.080,0.274±0.073,0.274±0.073,0.01±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.303±0.080,0.274±0.073,0.274±0.073,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.303±0.080,0.274±0.073,0.274±0.073,0.01±0.00s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.303±0.080,0.274±0.073,0.274±0.073,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.303±0.080,0.274±0.073,0.274±0.073,0.03±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.289±0.090,0.263±0.077,0.263±0.077,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.289±0.090,0.263±0.077,0.263±0.077,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.289±0.090,0.263±0.077,0.263±0.077,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.289±0.090,0.263±0.077,0.263±0.077,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.289±0.090,0.263±0.077,0.263±0.077,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.289±0.090,0.263±0.077,0.263±0.077,0.01±0.00s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.282±0.089,0.261±0.076,0.261±0.076,0.01±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.282±0.089,0.261±0.076,0.261±0.076,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.282±0.089,0.261±0.076,0.261±0.076,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.282±0.089,0.261±0.076,0.261±0.076,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.282±0.089,0.261±0.076,0.261±0.076,0.02±0.01s
LP,Wisconsin,uniform,0.3,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.282±0.089,0.261±0.076,0.261±0.076,0.02±0.01s
