model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.717±0.010,0.842±0.015,0.650±0.018,0.650±0.018,1.28±0.10s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.714±0.041,0.842±0.008,0.640±0.024,0.640±0.024,1.20±0.45s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.715±0.026,0.842±0.011,0.639±0.031,0.639±0.031,1.03±0.44s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.713±0.026,0.842±0.010,0.639±0.032,0.639±0.032,0.52±0.09s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.705±0.033,0.840±0.008,0.643±0.022,0.643±0.022,1.32±0.19s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.697±0.023,0.838±0.015,0.661±0.012,0.661±0.012,1.21±0.09s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.692±0.011,0.836±0.009,0.662±0.011,0.662±0.011,0.43±0.08s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.676±0.026,0.835±0.010,0.639±0.007,0.639±0.007,0.58±0.15s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.689±0.012,0.834±0.010,0.662±0.011,0.662±0.011,1.31±0.13s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.662±0.016,0.834±0.010,0.643±0.008,0.643±0.008,1.82±0.11s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.695±0.070,0.833±0.013,0.624±0.047,0.624±0.047,2.02±0.11s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.694±0.035,0.832±0.013,0.615±0.029,0.615±0.029,1.24±0.68s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.708±0.042,0.830±0.012,0.644±0.023,0.644±0.023,0.45±0.11s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.697±0.014,0.828±0.017,0.657±0.014,0.657±0.014,1.77±1.27s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.690±0.017,0.828±0.016,0.664±0.020,0.664±0.020,0.49±0.18s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.695±0.013,0.826±0.016,0.657±0.015,0.657±0.015,2.28±1.12s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.745±0.030,0.825±0.016,0.630±0.017,0.630±0.017,1.58±0.13s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.747±0.026,0.825±0.013,0.610±0.010,0.610±0.010,2.05±0.20s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.743±0.025,0.825±0.012,0.612±0.009,0.612±0.009,1.19±0.67s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.656±0.015,0.821±0.011,0.659±0.014,0.659±0.014,1.27±0.30s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.684±0.017,0.821±0.015,0.667±0.007,0.667±0.007,0.84±0.36s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.678±0.019,0.821±0.013,0.638±0.012,0.638±0.012,1.54±0.19s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.703±0.022,0.821±0.014,0.614±0.018,0.614±0.018,0.69±0.14s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.655±0.033,0.820±0.011,0.657±0.014,0.657±0.014,0.50±0.07s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.651±0.031,0.820±0.005,0.662±0.022,0.662±0.022,1.67±0.12s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.649±0.032,0.819±0.006,0.663±0.021,0.663±0.021,1.00±0.46s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.695±0.015,0.816±0.016,0.657±0.014,0.657±0.014,2.68±1.11s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.125,0.99,1.0,0.690±0.028,0.812±0.016,0.667±0.019,0.667±0.019,2.44±1.23s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.25,0.99,1.0,0.688±0.031,0.812±0.016,0.666±0.018,0.666±0.018,2.35±1.38s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.645±0.013,0.810±0.009,0.661±0.015,0.661±0.015,1.73±0.13s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.651±0.021,0.809±0.008,0.660±0.016,0.660±0.016,0.78±0.46s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.728±0.020,0.809±0.012,0.617±0.010,0.617±0.010,0.92±0.33s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.25,0.99,1.0,0.645±0.011,0.808±0.008,0.663±0.013,0.663±0.013,0.82±0.64s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.5,0.99,1.0,0.653±0.025,0.807±0.008,0.659±0.014,0.659±0.014,0.61±0.15s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.5,0.99,1.0,0.673±0.024,0.800±0.015,0.672±0.016,0.672±0.016,1.02±0.28s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.5,0.99,1.0,0.638±0.024,0.795±0.010,0.661±0.018,0.661±0.018,1.66±0.26s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.686±0.016,0.793±0.023,0.667±0.017,0.667±0.017,1.40±0.16s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.747±0.015,0.791±0.014,0.632±0.010,0.632±0.010,1.01±0.51s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,1.0,0.99,1.0,0.704±0.024,0.788±0.020,0.655±0.013,0.655±0.013,2.88±1.27s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.99,1.0,0.677±0.024,0.786±0.018,0.641±0.012,0.641±0.012,0.53±0.12s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.699±0.017,0.785±0.022,0.616±0.015,0.616±0.015,1.54±0.71s
LRGCN,Citeseer,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.99,1.0,0.653±0.022,0.781±0.010,0.656±0.014,0.656±0.014,0.93±0.52s
