model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.471±0.156,0.482±0.085,0.460±0.089,0.460±0.089,1.13±0.55s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.471±0.156,0.482±0.085,0.460±0.089,0.460±0.089,0.95±0.48s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.471±0.137,0.481±0.088,0.454±0.091,0.454±0.091,1.14±0.58s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.471±0.137,0.481±0.088,0.454±0.091,0.454±0.091,0.96±0.50s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.467±0.156,0.481±0.077,0.460±0.089,0.460±0.089,1.09±0.49s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.467±0.156,0.481±0.077,0.460±0.089,0.460±0.089,0.96±0.48s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.504±0.156,0.478±0.079,0.461±0.096,0.461±0.096,0.95±0.35s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.478±0.150,0.478±0.087,0.461±0.093,0.461±0.093,1.02±0.43s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.504±0.156,0.478±0.079,0.461±0.096,0.461±0.096,1.12±0.49s
Goodie,Cornell,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.478±0.150,0.478±0.087,0.461±0.093,0.461±0.093,0.54±0.14s
