model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.497±0.013,0.931±0.002,0.923±0.002,0.923±0.002,26.62±1.06s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.495±0.016,0.930±0.001,0.918±0.004,0.918±0.004,51.96±6.92s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.500±0.015,0.930±0.002,0.921±0.005,0.921±0.005,55.74±4.37s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.497±0.017,0.929±0.001,0.919±0.002,0.919±0.002,25.75±1.53s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.496±0.018,0.929±0.002,0.916±0.005,0.916±0.005,50.89±7.36s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.490±0.012,0.928±0.002,0.923±0.002,0.923±0.002,9.46±0.85s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.99,1.0,0.494±0.005,0.928±0.001,0.922±0.003,0.922±0.003,18.35±1.41s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.494±0.007,0.928±0.003,0.926±0.004,0.926±0.004,18.29±1.66s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.497±0.008,0.928±0.001,0.924±0.002,0.924±0.002,15.15±0.48s
LRGCN,Photo,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.491±0.010,0.928±0.001,0.920±0.003,0.920±0.003,30.51±2.46s
