model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.560±0.008,0.881±0.004,0.796±0.012,0.796±0.012,5.04±0.21s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.544±0.009,0.879±0.006,0.814±0.008,0.814±0.008,4.03±0.32s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.578±0.005,0.878±0.004,0.765±0.005,0.765±0.005,7.28±0.39s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.556±0.012,0.876±0.005,0.787±0.007,0.787±0.007,7.61±0.55s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.567±0.003,0.875±0.005,0.788±0.008,0.788±0.008,4.03±0.24s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.575±0.006,0.875±0.005,0.772±0.005,0.772±0.005,4.87±0.33s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.546±0.012,0.874±0.005,0.801±0.007,0.801±0.007,5.71±0.27s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.572±0.009,0.873±0.005,0.766±0.014,0.766±0.014,7.39±0.65s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.576±0.004,0.873±0.005,0.760±0.013,0.760±0.013,13.04±0.86s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.99,1.0,0.568±0.009,0.870±0.004,0.778±0.009,0.778±0.009,5.71±0.48s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.560±0.005,0.870±0.004,0.780±0.004,0.780±0.004,7.41±0.19s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.99,1.0,0.560±0.013,0.869±0.003,0.777±0.005,0.777±0.005,9.94±0.32s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.586±0.009,0.869±0.003,0.740±0.010,0.740±0.010,6.94±0.31s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.565±0.004,0.869±0.005,0.768±0.006,0.768±0.006,9.54±0.30s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.558±0.016,0.869±0.002,0.780±0.014,0.780±0.014,16.32±0.85s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.566±0.014,0.868±0.004,0.777±0.013,0.777±0.013,7.21±0.32s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.560±0.013,0.868±0.005,0.774±0.018,0.774±0.018,14.34±0.96s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.555±0.014,0.868±0.003,0.783±0.015,0.783±0.015,15.57±0.59s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,1.0,0.99,1.0,0.541±0.029,0.867±0.006,0.789±0.016,0.789±0.016,6.38±0.27s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.570±0.008,0.867±0.003,0.769±0.010,0.769±0.010,9.43±0.39s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.564±0.006,0.867±0.005,0.772±0.009,0.772±0.009,8.99±0.19s
LRGCN,Pubmed,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.557±0.005,0.867±0.004,0.777±0.007,0.777±0.007,10.58±0.40s
