model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.557±0.083,0.591±0.069,0.535±0.085,0.535±0.085,2.21±0.80s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.557±0.083,0.591±0.069,0.535±0.085,0.535±0.085,1.33±0.59s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.550±0.059,0.589±0.068,0.537±0.073,0.537±0.073,2.22±0.82s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.534±0.108,0.589±0.068,0.534±0.084,0.534±0.084,1.92±0.63s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.550±0.059,0.589±0.068,0.537±0.073,0.537±0.073,1.38±0.53s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.534±0.108,0.589±0.068,0.534±0.084,0.534±0.084,1.30±0.60s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.545±0.102,0.587±0.064,0.530±0.078,0.530±0.078,1.87±0.64s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.545±0.102,0.587±0.064,0.530±0.078,0.530±0.078,1.24±0.49s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.546±0.086,0.579±0.074,0.547±0.082,0.547±0.082,1.03±0.40s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.546±0.086,0.579±0.074,0.547±0.082,0.547±0.082,1.21±0.50s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.543±0.084,0.576±0.074,0.556±0.087,0.556±0.087,1.06±0.37s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.543±0.084,0.576±0.074,0.556±0.087,0.556±0.087,1.13±0.42s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.547±0.093,0.575±0.074,0.548±0.086,0.548±0.086,1.09±0.36s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.547±0.093,0.575±0.074,0.548±0.086,0.548±0.086,1.12±0.34s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.534±0.094,0.574±0.073,0.546±0.080,0.546±0.080,1.03±0.39s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.534±0.094,0.574±0.073,0.546±0.080,0.546±0.080,1.18±0.43s
Goodie,Wisconsin,uniform,0.5,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.548±0.092,0.573±0.076,0.530±0.090,0.530±0.090,1.12±0.39s
