model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.319±0.099,0.246±0.026,0.244±0.018,0.244±0.018,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.319±0.099,0.246±0.026,0.244±0.018,0.244±0.018,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.319±0.099,0.246±0.026,0.244±0.018,0.244±0.018,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.319±0.099,0.246±0.026,0.244±0.018,0.244±0.018,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.319±0.099,0.246±0.026,0.244±0.018,0.244±0.018,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.319±0.099,0.246±0.026,0.244±0.018,0.244±0.018,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.894±0.049,0.239±0.010,0.240±0.010,0.240±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.894±0.049,0.239±0.010,0.240±0.010,0.240±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.894±0.049,0.239±0.010,0.240±0.010,0.240±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.894±0.049,0.239±0.010,0.240±0.010,0.240±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.894±0.049,0.239±0.010,0.240±0.010,0.240±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.894±0.049,0.239±0.010,0.240±0.010,0.240±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.999±0.000,0.213±0.004,0.209±0.010,0.209±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.999±0.000,0.213±0.004,0.209±0.010,0.209±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.999±0.000,0.213±0.004,0.209±0.010,0.209±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.999±0.000,0.213±0.004,0.209±0.010,0.209±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.999±0.000,0.213±0.004,0.209±0.010,0.209±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.999±0.000,0.213±0.004,0.209±0.010,0.209±0.010,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.205±0.004,0.204±0.009,0.204±0.009,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.205±0.004,0.204±0.009,0.204±0.009,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.205±0.004,0.204±0.009,0.204±0.009,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.205±0.004,0.204±0.009,0.204±0.009,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.205±0.004,0.204±0.009,0.204±0.009,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.205±0.004,0.204±0.009,0.204±0.009,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.201±0.005,0.205±0.007,0.205±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.201±0.005,0.205±0.007,0.205±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.201±0.005,0.205±0.007,0.205±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.201±0.005,0.205±0.007,0.205±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.201±0.005,0.205±0.007,0.205±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.201±0.005,0.205±0.007,0.205±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.004,0.203±0.008,0.203±0.008,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.005,0.204±0.007,0.204±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.004,0.203±0.008,0.203±0.008,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.005,0.204±0.007,0.204±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.004,0.203±0.008,0.203±0.008,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.005,0.204±0.007,0.204±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.004,0.203±0.008,0.203±0.008,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.005,0.204±0.007,0.204±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.004,0.203±0.008,0.203±0.008,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.005,0.204±0.007,0.204±0.007,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.004,0.203±0.008,0.203±0.008,0.01±0.00s
LP,Actor,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.200±0.005,0.204±0.007,0.204±0.007,0.01±0.00s
