model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.527±0.017,0.507±0.026,0.487±0.010,0.487±0.010,0.90±0.09s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.527±0.018,0.506±0.026,0.487±0.010,0.487±0.010,1.93±0.73s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.556±0.029,0.505±0.034,0.477±0.037,0.477±0.037,1.06±0.34s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.556±0.031,0.504±0.035,0.475±0.039,0.475±0.039,1.28±0.72s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.611±0.032,0.504±0.035,0.485±0.034,0.485±0.034,0.95±0.08s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.610±0.032,0.503±0.035,0.485±0.034,0.485±0.034,1.51±0.92s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.509±0.017,0.501±0.032,0.485±0.025,0.485±0.025,1.76±0.68s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.509±0.017,0.501±0.032,0.484±0.026,0.484±0.026,1.69±0.59s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,1.0,0.473±0.009,0.501±0.028,0.480±0.018,0.480±0.018,1.98±0.78s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,1.0,0.473±0.010,0.501±0.028,0.480±0.018,0.480±0.018,0.85±0.03s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.559±0.018,0.493±0.035,0.472±0.037,0.472±0.037,1.62±0.70s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.560±0.019,0.493±0.034,0.471±0.037,0.471±0.037,1.54±0.57s
Goodie,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.573±0.020,0.491±0.030,0.483±0.030,0.483±0.030,4.68±1.71s
