model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.540±0.006,0.454±0.021,0.441±0.017,0.441±0.017,0.04±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.540±0.006,0.454±0.021,0.440±0.016,0.440±0.016,0.04±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.540±0.006,0.454±0.021,0.441±0.017,0.441±0.017,0.04±0.00s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.540±0.006,0.454±0.021,0.441±0.017,0.441±0.017,0.03±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.540±0.006,0.453±0.021,0.441±0.017,0.441±0.017,0.04±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.540±0.006,0.453±0.021,0.441±0.017,0.441±0.017,0.04±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.666±0.021,0.425±0.024,0.423±0.016,0.423±0.016,0.03±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.666±0.021,0.424±0.025,0.422±0.016,0.422±0.016,0.03±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.666±0.021,0.424±0.025,0.423±0.016,0.423±0.016,0.02±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.666±0.021,0.424±0.025,0.423±0.015,0.423±0.015,0.02±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.666±0.021,0.424±0.025,0.423±0.016,0.423±0.016,0.05±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.666±0.021,0.424±0.025,0.423±0.016,0.423±0.016,0.02±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.952±0.005,0.309±0.017,0.311±0.019,0.311±0.019,0.03±0.02s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.952±0.005,0.309±0.017,0.311±0.019,0.311±0.019,0.02±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.952±0.005,0.309±0.017,0.311±0.019,0.311±0.019,0.05±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.952±0.005,0.309±0.017,0.311±0.019,0.311±0.019,0.04±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.952±0.005,0.309±0.017,0.311±0.019,0.311±0.019,0.04±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.952±0.005,0.309±0.017,0.311±0.020,0.311±0.020,0.04±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.999±0.000,0.274±0.018,0.270±0.019,0.270±0.019,0.02±0.01s
LP,Citeseer,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.999±0.000,0.274±0.018,0.270±0.019,0.270±0.019,0.04±0.02s
