model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.732±0.122,0.570±0.072,0.413±0.096,0.413±0.096,0.61±0.36s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.861±0.123,0.569±0.090,0.426±0.100,0.426±0.100,0.49±0.25s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.855±0.106,0.569±0.087,0.321±0.110,0.321±0.110,0.60±0.32s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.861±0.117,0.569±0.087,0.350±0.121,0.350±0.121,0.71±0.32s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.854±0.121,0.565±0.089,0.437±0.110,0.437±0.110,0.59±0.25s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.758±0.126,0.559±0.069,0.404±0.112,0.404±0.112,0.71±0.33s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.713±0.147,0.558±0.066,0.429±0.110,0.429±0.110,0.90±0.12s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.882±0.080,0.557±0.086,0.417±0.103,0.417±0.103,0.71±0.20s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.811±0.137,0.550±0.081,0.367±0.106,0.367±0.106,0.96±0.21s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.739±0.130,0.541±0.070,0.428±0.104,0.428±0.104,0.74±0.27s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.915±0.095,0.535±0.077,0.366±0.117,0.366±0.117,0.77±0.23s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.916±0.101,0.532±0.077,0.374±0.114,0.374±0.114,0.77±0.19s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.880±0.100,0.531±0.096,0.398±0.107,0.398±0.107,0.65±0.17s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.796±0.140,0.529±0.086,0.357±0.119,0.357±0.119,0.95±0.24s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.788±0.160,0.529±0.090,0.410±0.108,0.410±0.108,0.85±0.15s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.905±0.149,0.527±0.097,0.359±0.112,0.359±0.112,0.36±0.20s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.758±0.176,0.526±0.081,0.415±0.104,0.415±0.104,0.70±0.38s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.772±0.141,0.525±0.094,0.376±0.097,0.376±0.097,0.83±0.25s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.755±0.135,0.525±0.092,0.380±0.094,0.380±0.094,1.01±0.16s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.846±0.144,0.525±0.098,0.406±0.108,0.406±0.108,0.42±0.23s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.827±0.152,0.524±0.090,0.335±0.117,0.335±0.117,0.61±0.29s
LRGCN,Cornell,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.769±0.179,0.524±0.093,0.404±0.120,0.404±0.120,0.79±0.35s
