model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.985±0.003,0.783±0.009,0.775±0.006,0.775±0.006,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.985±0.003,0.783±0.009,0.775±0.006,0.775±0.006,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.985±0.003,0.783±0.009,0.775±0.006,0.775±0.006,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.985±0.003,0.783±0.009,0.775±0.006,0.775±0.006,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.985±0.003,0.783±0.009,0.775±0.006,0.775±0.006,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.985±0.003,0.783±0.009,0.775±0.006,0.775±0.006,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.694±0.008,0.683±0.022,0.683±0.022,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.694±0.008,0.683±0.022,0.683±0.022,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.694±0.008,0.683±0.022,0.683±0.022,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.694±0.008,0.683±0.022,0.683±0.022,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.694±0.008,0.683±0.022,0.683±0.022,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.694±0.008,0.683±0.022,0.683±0.022,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.441±0.031,0.658±0.012,0.664±0.008,0.664±0.008,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.441±0.031,0.658±0.012,0.664±0.008,0.664±0.008,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.441±0.031,0.658±0.012,0.664±0.008,0.664±0.008,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.441±0.031,0.658±0.012,0.664±0.008,0.664±0.008,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.441±0.031,0.658±0.012,0.664±0.008,0.664±0.008,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.441±0.031,0.658±0.012,0.664±0.008,0.664±0.008,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.252±0.005,0.624±0.007,0.631±0.016,0.631±0.016,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.252±0.005,0.624±0.007,0.631±0.016,0.631±0.016,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.252±0.005,0.624±0.007,0.631±0.016,0.631±0.016,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.252±0.005,0.624±0.007,0.631±0.016,0.631±0.016,0.01±0.00s
LP,Photo,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.252±0.005,0.624±0.007,0.631±0.016,0.631±0.016,0.01±0.00s
