model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.301±0.073,0.355±0.210,0.364±0.218,0.364±0.218,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.301±0.073,0.355±0.210,0.364±0.218,0.364±0.218,0.01±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.301±0.073,0.355±0.210,0.364±0.218,0.364±0.218,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.301±0.073,0.355±0.210,0.364±0.218,0.364±0.218,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.301±0.073,0.355±0.210,0.364±0.218,0.364±0.218,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.301±0.073,0.355±0.210,0.364±0.218,0.364±0.218,0.01±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.479±0.137,0.314±0.185,0.322±0.193,0.322±0.193,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.479±0.137,0.314±0.185,0.322±0.193,0.322±0.193,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.479±0.137,0.314±0.185,0.322±0.193,0.322±0.193,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.479±0.137,0.314±0.185,0.322±0.193,0.322±0.193,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.479±0.137,0.314±0.185,0.322±0.193,0.322±0.193,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.479±0.137,0.314±0.185,0.322±0.193,0.322±0.193,0.01±0.00s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.987±0.013,0.250±0.135,0.290±0.132,0.290±0.132,0.01±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.987±0.013,0.250±0.135,0.290±0.132,0.290±0.132,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.987±0.013,0.250±0.135,0.290±0.132,0.290±0.132,0.01±0.00s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.987±0.013,0.250±0.135,0.290±0.132,0.290±0.132,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.987±0.013,0.250±0.135,0.290±0.132,0.290±0.132,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.987±0.013,0.250±0.135,0.290±0.132,0.290±0.132,0.01±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.212±0.108,0.237±0.112,0.237±0.112,0.02±0.01s
LP,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.212±0.108,0.237±0.112,0.237±0.112,0.02±0.01s
