model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.649±0.147,0.645±0.090,0.539±0.090,0.539±0.090,0.57±0.33s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.656±0.156,0.639±0.096,0.537±0.087,0.537±0.087,0.84±0.26s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.632±0.143,0.638±0.104,0.537±0.089,0.537±0.089,0.68±0.31s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.743±0.169,0.631±0.099,0.500±0.097,0.500±0.097,0.45±0.22s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.789±0.154,0.626±0.114,0.462±0.126,0.462±0.126,0.97±0.19s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.729±0.160,0.625±0.099,0.511±0.107,0.511±0.107,0.68±0.18s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.760±0.184,0.624±0.104,0.504±0.112,0.504±0.112,0.66±0.22s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.701±0.174,0.623±0.105,0.492±0.094,0.492±0.094,0.63±0.34s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.691±0.169,0.621±0.108,0.493±0.106,0.493±0.106,0.56±0.29s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.772±0.181,0.618±0.108,0.445±0.119,0.445±0.119,0.76±0.36s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.789±0.175,0.616±0.099,0.446±0.116,0.446±0.116,0.62±0.30s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.734±0.154,0.615±0.108,0.496±0.103,0.496±0.103,0.90±0.22s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.712±0.187,0.613±0.097,0.521±0.094,0.521±0.094,0.71±0.23s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.562±0.155,0.610±0.082,0.525±0.097,0.525±0.097,0.56±0.28s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.631±0.165,0.607±0.116,0.527±0.101,0.527±0.101,0.89±0.14s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.584±0.166,0.606±0.081,0.522±0.091,0.522±0.091,0.70±0.32s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.714±0.184,0.603±0.105,0.525±0.140,0.525±0.140,0.61±0.21s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.709±0.189,0.601±0.110,0.518±0.133,0.518±0.133,0.70±0.22s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.651±0.159,0.600±0.085,0.544±0.112,0.544±0.112,0.95±0.25s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.687±0.202,0.598±0.108,0.522±0.118,0.522±0.118,0.38±0.22s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.5,0.99,1.0,0.648±0.157,0.597±0.112,0.501±0.098,0.501±0.098,0.85±0.27s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.776±0.174,0.595±0.120,0.491±0.130,0.491±0.130,0.36±0.16s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.752±0.156,0.594±0.114,0.496±0.130,0.496±0.130,0.65±0.16s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.615±0.145,0.594±0.102,0.504±0.105,0.504±0.105,0.83±0.28s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.612±0.145,0.594±0.109,0.504±0.102,0.504±0.102,0.87±0.20s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.761±0.159,0.593±0.117,0.496±0.130,0.496±0.130,0.46±0.30s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.676±0.168,0.590±0.113,0.490±0.118,0.490±0.118,0.85±0.30s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.752±0.142,0.589±0.124,0.507±0.135,0.507±0.135,0.69±0.20s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.747±0.182,0.588±0.126,0.496±0.126,0.496±0.126,0.68±0.19s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.758±0.163,0.588±0.133,0.498±0.133,0.498±0.133,0.60±0.16s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.737±0.180,0.586±0.114,0.468±0.124,0.468±0.124,0.67±0.29s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.99,1.0,0.664±0.164,0.585±0.117,0.520±0.095,0.520±0.095,0.84±0.29s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.757±0.173,0.581±0.111,0.523±0.107,0.523±0.107,0.40±0.15s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.735±0.157,0.579±0.117,0.431±0.123,0.431±0.123,0.90±0.18s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.612±0.188,0.579±0.087,0.543±0.103,0.543±0.103,0.94±0.13s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.718±0.176,0.578±0.127,0.503±0.137,0.503±0.137,0.57±0.28s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.748±0.165,0.578±0.118,0.437±0.129,0.437±0.129,0.67±0.31s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.779±0.176,0.577±0.094,0.443±0.129,0.443±0.129,0.80±0.23s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.790±0.178,0.576±0.097,0.438±0.132,0.438±0.132,0.40±0.16s
LRGCN,Texas,uniform,0.7,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.787±0.173,0.573±0.105,0.463±0.142,0.463±0.142,0.66±0.16s
