model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.746±0.043,0.653±0.042,0.326±0.035,0.326±0.035,0.63±0.19s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.742±0.044,0.652±0.045,0.326±0.033,0.326±0.033,1.26±0.21s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.571±0.103,0.641±0.032,0.428±0.030,0.428±0.030,0.71±0.22s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.601±0.082,0.632±0.032,0.401±0.053,0.401±0.053,0.67±0.11s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.754±0.056,0.629±0.047,0.309±0.039,0.309±0.039,1.37±0.25s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.611±0.052,0.621±0.073,0.420±0.070,0.420±0.070,0.64±0.31s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.677±0.056,0.621±0.043,0.409±0.060,0.409±0.060,0.85±0.15s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.605±0.052,0.617±0.075,0.418±0.069,0.418±0.069,0.99±0.13s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.674±0.060,0.617±0.047,0.410±0.063,0.410±0.063,0.40±0.09s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.716±0.049,0.595±0.040,0.314±0.036,0.314±0.036,0.78±0.29s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.719±0.048,0.594±0.040,0.313±0.034,0.313±0.034,0.54±0.21s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.511±0.111,0.586±0.027,0.403±0.051,0.403±0.051,0.66±0.18s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.655±0.065,0.578±0.047,0.392±0.055,0.392±0.055,0.48±0.23s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.695±0.023,0.576±0.042,0.380±0.029,0.380±0.029,0.85±0.25s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.690±0.025,0.570±0.040,0.374±0.030,0.374±0.030,0.84±0.10s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.705±0.058,0.565±0.049,0.303±0.035,0.303±0.035,1.07±0.16s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.592±0.050,0.562±0.089,0.394±0.062,0.394±0.062,1.03±0.17s
LRGCN,Cora,uniform,0.9,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.808±0.047,0.534±0.035,0.254±0.039,0.254±0.039,0.73±0.31s
