model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.374±0.044,0.274±0.008,0.261±0.007,0.261±0.007,0.77±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.374±0.044,0.274±0.008,0.261±0.007,0.261±0.007,0.78±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.372±0.042,0.273±0.008,0.261±0.009,0.261±0.009,0.74±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.349±0.036,0.273±0.008,0.262±0.010,0.262±0.010,0.73±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.372±0.042,0.273±0.008,0.261±0.009,0.261±0.009,0.74±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.381±0.034,0.272±0.006,0.261±0.007,0.261±0.007,0.79±0.16s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.381±0.034,0.272±0.006,0.261±0.007,0.261±0.007,0.79±0.16s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.359±0.051,0.272±0.008,0.262±0.010,0.262±0.010,0.76±0.14s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.356±0.038,0.272±0.007,0.262±0.007,0.262±0.007,0.71±0.09s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.360±0.043,0.272±0.006,0.262±0.007,0.262±0.007,0.69±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.356±0.038,0.272±0.007,0.262±0.007,0.262±0.007,0.71±0.09s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.360±0.043,0.272±0.006,0.262±0.007,0.262±0.007,0.68±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.414±0.024,0.271±0.007,0.258±0.008,0.258±0.008,0.88±0.14s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.414±0.024,0.271±0.007,0.258±0.008,0.258±0.008,0.88±0.14s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.414±0.057,0.271±0.007,0.264±0.010,0.264±0.010,0.76±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.360±0.049,0.271±0.009,0.259±0.008,0.259±0.008,0.80±0.16s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.414±0.057,0.271±0.007,0.264±0.010,0.264±0.010,0.76±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.359±0.048,0.271±0.008,0.258±0.008,0.258±0.008,0.80±0.15s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.458±0.088,0.271±0.006,0.261±0.005,0.261±0.005,0.81±0.15s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.442±0.046,0.271±0.008,0.262±0.007,0.262±0.007,0.77±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.375±0.029,0.271±0.007,0.266±0.008,0.266±0.008,0.73±0.07s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.345±0.050,0.271±0.009,0.257±0.004,0.257±0.004,0.73±0.16s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.458±0.088,0.271±0.006,0.261±0.005,0.261±0.005,0.81±0.15s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.442±0.046,0.271±0.008,0.262±0.007,0.262±0.007,0.77±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.383±0.035,0.271±0.007,0.266±0.008,0.266±0.008,0.74±0.09s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.373±0.051,0.270±0.006,0.264±0.009,0.264±0.009,0.83±0.17s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.370±0.037,0.270±0.006,0.264±0.008,0.264±0.008,0.87±0.13s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.341±0.022,0.270±0.007,0.262±0.008,0.262±0.008,0.72±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.373±0.051,0.270±0.006,0.264±0.009,0.264±0.009,0.84±0.17s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.366±0.036,0.270±0.006,0.263±0.008,0.263±0.008,0.88±0.14s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.341±0.022,0.270±0.007,0.262±0.008,0.262±0.008,0.73±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.416±0.064,0.270±0.006,0.265±0.009,0.265±0.009,0.78±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.432±0.076,0.270±0.006,0.265±0.009,0.265±0.009,0.82±0.13s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.344±0.048,0.270±0.009,0.257±0.004,0.257±0.004,0.72±0.15s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.365±0.051,0.267±0.010,0.263±0.007,0.263±0.007,0.89±0.24s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.308±0.041,0.266±0.006,0.256±0.005,0.256±0.005,0.59±0.05s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.308±0.041,0.266±0.006,0.256±0.005,0.256±0.005,0.59±0.05s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.356±0.053,0.266±0.010,0.261±0.009,0.261±0.009,0.86±0.23s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.266±0.007,0.265±0.012,0.260±0.009,0.260±0.009,0.60±0.12s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.263±0.007,0.265±0.010,0.261±0.009,0.261±0.009,0.58±0.08s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.266±0.007,0.265±0.012,0.260±0.009,0.260±0.009,0.59±0.12s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.263±0.007,0.265±0.010,0.260±0.009,0.260±0.009,0.60±0.09s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.287±0.030,0.265±0.011,0.257±0.009,0.257±0.009,0.72±0.28s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.287±0.030,0.265±0.011,0.258±0.008,0.258±0.008,0.71±0.27s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,1.0,0.286±0.031,0.264±0.007,0.250±0.009,0.250±0.009,0.52±0.06s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,1.0,0.286±0.031,0.264±0.007,0.250±0.009,0.250±0.009,0.53±0.06s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.272±0.013,0.264±0.009,0.257±0.006,0.257±0.006,0.68±0.34s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.272±0.013,0.264±0.009,0.257±0.006,0.257±0.006,0.69±0.34s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.281±0.007,0.264±0.010,0.261±0.009,0.261±0.009,0.61±0.05s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.283±0.010,0.263±0.009,0.261±0.008,0.261±0.008,0.62±0.05s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.263±0.007,0.263±0.010,0.259±0.007,0.259±0.007,0.64±0.06s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,1.0,0.263±0.008,0.263±0.009,0.260±0.006,0.260±0.006,0.60±0.07s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.263±0.007,0.263±0.010,0.259±0.007,0.259±0.007,0.62±0.06s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,1.0,0.263±0.008,0.263±0.009,0.260±0.007,0.260±0.007,0.60±0.07s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.263±0.009,0.262±0.007,0.260±0.006,0.260±0.006,0.53±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,1.0,0.256±0.005,0.262±0.007,0.258±0.008,0.258±0.008,0.55±0.12s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.263±0.009,0.262±0.007,0.260±0.006,0.260±0.006,0.53±0.11s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,1.0,0.256±0.005,0.262±0.007,0.258±0.008,0.258±0.008,0.56±0.12s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.267±0.007,0.262±0.010,0.257±0.011,0.257±0.011,0.56±0.09s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.264±0.005,0.262±0.010,0.261±0.009,0.261±0.009,0.58±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.267±0.007,0.262±0.011,0.257±0.011,0.257±0.011,0.56±0.09s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.264±0.005,0.262±0.010,0.261±0.009,0.261±0.009,0.57±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.290±0.041,0.261±0.008,0.256±0.007,0.256±0.007,0.60±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,1.0,0.273±0.018,0.261±0.010,0.258±0.005,0.258±0.005,0.58±0.08s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.290±0.041,0.261±0.008,0.256±0.007,0.256±0.007,0.61±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,1.0,0.273±0.018,0.261±0.010,0.258±0.005,0.258±0.005,0.58±0.08s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.310±0.032,0.261±0.009,0.257±0.006,0.257±0.006,0.55±0.07s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.276±0.026,0.261±0.006,0.258±0.005,0.258±0.005,0.61±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.309±0.032,0.261±0.009,0.257±0.005,0.257±0.005,0.56±0.07s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.276±0.026,0.261±0.006,0.258±0.005,0.258±0.005,0.61±0.10s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,1.0,0.258±0.006,0.260±0.009,0.257±0.008,0.257±0.008,0.56±0.08s
Goodie,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,1.0,0.258±0.006,0.260±0.009,0.257±0.008,0.257±0.008,0.56±0.08s
