model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.748±0.008,0.632±0.007,0.250±0.011,0.250±0.011,15.15±0.85s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.743±0.008,0.625±0.010,0.255±0.009,0.255±0.009,14.83±0.50s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.740±0.009,0.624±0.010,0.251±0.010,0.251±0.010,14.55±0.81s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.774±0.029,0.613±0.010,0.256±0.010,0.256±0.010,7.56±0.95s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.764±0.014,0.611±0.006,0.264±0.011,0.264±0.011,7.40±0.43s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.754±0.011,0.609±0.010,0.256±0.009,0.256±0.009,7.25±0.51s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.778±0.014,0.609±0.008,0.263±0.006,0.263±0.006,16.94±0.75s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.732±0.015,0.604±0.010,0.258±0.005,0.258±0.005,8.57±0.45s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.736±0.010,0.602±0.015,0.258±0.008,0.258±0.008,8.55±0.45s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.766±0.024,0.601±0.016,0.266±0.007,0.266±0.007,15.64±0.87s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.761±0.035,0.597±0.011,0.265±0.012,0.265±0.012,16.08±1.06s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.765±0.019,0.595±0.004,0.263±0.012,0.263±0.012,8.93±0.59s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.794±0.011,0.593±0.007,0.264±0.012,0.264±0.012,7.99±0.34s
LRGCN,Actor,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.755±0.010,0.591±0.004,0.267±0.010,0.267±0.010,4.59±0.34s
