model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.862±0.020,0.715±0.008,0.705±0.013,0.705±0.013,2.66±1.54s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.858±0.019,0.715±0.010,0.699±0.012,0.699±0.012,3.93±1.66s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.862±0.020,0.715±0.008,0.705±0.013,0.705±0.013,2.60±1.44s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.858±0.019,0.715±0.010,0.699±0.012,0.699±0.012,2.87±1.11s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.864±0.011,0.715±0.014,0.703±0.018,0.703±0.018,3.85±1.54s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.862±0.010,0.715±0.014,0.702±0.019,0.702±0.019,1.31±0.15s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.859±0.024,0.714±0.015,0.704±0.019,0.704±0.019,9.50±5.31s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.859±0.024,0.714±0.015,0.704±0.019,0.704±0.019,2.48±1.38s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.844±0.021,0.710±0.024,0.699±0.022,0.699±0.022,3.30±1.35s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.844±0.021,0.710±0.024,0.699±0.022,0.699±0.022,1.17±0.17s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.859±0.030,0.709±0.012,0.690±0.015,0.690±0.015,4.11±0.83s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.859±0.030,0.709±0.012,0.690±0.015,0.690±0.015,1.24±0.18s
Goodie,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.851±0.016,0.708±0.011,0.693±0.006,0.693±0.006,3.19±1.78s
