model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.906±0.042,0.854±0.011,0.728±0.007,0.728±0.007,1.24±0.67s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.923±0.038,0.853±0.010,0.729±0.009,0.729±0.009,1.63±0.41s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.942±0.052,0.853±0.012,0.724±0.008,0.724±0.008,1.97±1.12s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.946±0.050,0.852±0.014,0.723±0.010,0.723±0.010,2.65±1.46s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.951±0.042,0.849±0.009,0.720±0.006,0.720±0.006,0.79±0.22s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.946±0.050,0.849±0.015,0.719±0.012,0.719±0.012,3.62±3.12s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.972±0.030,0.849±0.012,0.721±0.013,0.721±0.013,4.05±1.40s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.971±0.034,0.847±0.011,0.717±0.007,0.717±0.007,4.18±1.28s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.888±0.018,0.845±0.009,0.740±0.008,0.740±0.008,3.51±0.52s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.892±0.014,0.845±0.007,0.736±0.005,0.736±0.005,2.15±1.46s
LRGCN,Citeseer,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.929±0.030,0.845±0.010,0.725±0.012,0.725±0.012,1.91±0.68s
