model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.931±0.020,0.850±0.016,0.857±0.009,0.857±0.009,1.13±0.14s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.932±0.019,0.850±0.015,0.858±0.009,0.858±0.009,1.14±0.14s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.931±0.020,0.850±0.016,0.857±0.009,0.857±0.009,1.12±0.14s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.932±0.019,0.850±0.015,0.858±0.009,0.858±0.009,1.11±0.13s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.918±0.014,0.849±0.017,0.852±0.016,0.852±0.016,11.66±2.95s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.916±0.014,0.849±0.017,0.851±0.014,0.851±0.014,11.61±2.71s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.922±0.022,0.849±0.020,0.854±0.009,0.854±0.009,6.83±6.33s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.918±0.014,0.849±0.017,0.852±0.016,0.852±0.016,3.21±1.09s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.916±0.014,0.849±0.017,0.851±0.014,0.851±0.014,2.58±1.36s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.922±0.022,0.849±0.020,0.854±0.009,0.854±0.009,2.61±1.30s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.928±0.018,0.849±0.015,0.855±0.009,0.855±0.009,1.13±0.15s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.929±0.023,0.849±0.014,0.855±0.008,0.855±0.008,1.14±0.15s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.928±0.018,0.849±0.015,0.855±0.009,0.855±0.009,1.12±0.15s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.929±0.023,0.849±0.014,0.855±0.008,0.855±0.008,1.13±0.15s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.921±0.017,0.848±0.018,0.855±0.012,0.855±0.012,13.66±1.85s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.924±0.013,0.848±0.016,0.855±0.013,0.855±0.013,14.11±3.76s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.923±0.020,0.848±0.019,0.854±0.014,0.854±0.014,16.49±4.03s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.921±0.017,0.848±0.018,0.855±0.012,0.855±0.012,2.29±0.86s
Goodie,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.924±0.013,0.848±0.016,0.855±0.013,0.855±0.013,2.64±1.34s
