model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.927±0.027,0.894±0.008,0.864±0.018,0.864±0.018,1.41±0.14s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.924±0.024,0.893±0.006,0.868±0.022,0.868±0.022,3.53±0.21s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.921±0.029,0.893±0.007,0.864±0.019,0.864±0.019,0.69±0.33s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.980±0.032,0.893±0.009,0.863±0.016,0.863±0.016,4.42±2.91s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.926±0.016,0.892±0.009,0.870±0.017,0.870±0.017,3.93±0.37s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.916±0.017,0.892±0.007,0.868±0.018,0.868±0.018,0.99±0.14s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.935±0.016,0.892±0.008,0.866±0.018,0.866±0.018,0.92±0.13s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.983±0.025,0.892±0.010,0.860±0.018,0.860±0.018,2.14±1.15s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.978±0.032,0.892±0.009,0.858±0.017,0.858±0.017,1.59±0.82s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.938±0.036,0.892±0.007,0.864±0.018,0.864±0.018,2.34±0.73s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.922±0.028,0.891±0.008,0.864±0.016,0.864±0.016,1.16±0.21s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.924±0.024,0.890±0.008,0.867±0.017,0.867±0.017,1.79±1.19s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.930±0.020,0.889±0.009,0.871±0.015,0.871±0.015,3.02±0.76s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.923±0.017,0.889±0.008,0.866±0.021,0.866±0.021,1.31±0.39s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.920±0.011,0.889±0.009,0.868±0.016,0.868±0.016,0.91±0.53s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.962±0.042,0.889±0.009,0.860±0.015,0.860±0.015,1.97±0.64s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.939±0.018,0.889±0.008,0.865±0.017,0.865±0.017,1.33±0.12s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.948±0.043,0.889±0.008,0.861±0.015,0.861±0.015,3.25±2.38s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.925±0.037,0.889±0.014,0.862±0.016,0.862±0.016,3.35±2.58s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.939±0.037,0.889±0.009,0.867±0.019,0.867±0.019,1.90±0.61s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.924±0.023,0.888±0.009,0.871±0.019,0.871±0.019,1.62±0.29s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.944±0.025,0.888±0.007,0.866±0.019,0.866±0.019,0.66±0.38s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.938±0.016,0.888±0.010,0.869±0.018,0.869±0.018,1.06±0.10s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.953±0.026,0.888±0.007,0.868±0.014,0.868±0.014,0.91±0.50s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.929±0.036,0.888±0.006,0.864±0.017,0.864±0.017,1.80±1.74s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.99,1.0,0.916±0.009,0.887±0.007,0.869±0.017,0.869±0.017,5.07±0.53s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.914±0.007,0.887±0.010,0.871±0.019,0.871±0.019,5.37±0.29s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.940±0.040,0.887±0.007,0.866±0.015,0.866±0.015,1.31±0.34s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.928±0.033,0.887±0.007,0.865±0.017,0.865±0.017,1.73±0.48s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.916±0.008,0.887±0.010,0.870±0.014,0.870±0.014,0.54±0.13s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.924±0.006,0.887±0.009,0.870±0.021,0.870±0.021,1.69±0.15s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.939±0.030,0.887±0.006,0.863±0.017,0.863±0.017,1.06±0.32s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.956±0.024,0.887±0.010,0.868±0.018,0.868±0.018,1.06±0.51s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.926±0.023,0.887±0.009,0.865±0.017,0.865±0.017,0.98±0.35s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.929±0.010,0.886±0.008,0.867±0.014,0.867±0.014,3.71±0.21s
LRGCN,Cora,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.25,0.99,1.0,0.943±0.017,0.886±0.011,0.865±0.018,0.865±0.018,4.47±0.44s
