model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.607±0.136,0.492±0.049,0.456±0.043,0.456±0.043,1.20±0.54s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.607±0.136,0.492±0.049,0.456±0.043,0.456±0.043,1.45±0.52s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.596±0.162,0.488±0.056,0.468±0.057,0.468±0.057,1.25±0.76s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.586±0.143,0.488±0.051,0.471±0.037,0.471±0.037,1.13±0.51s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.596±0.162,0.488±0.056,0.468±0.057,0.468±0.057,1.29±0.86s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.586±0.143,0.488±0.051,0.471±0.037,0.471±0.037,1.34±0.52s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.597±0.141,0.487±0.051,0.464±0.059,0.464±0.059,1.10±0.63s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.584±0.120,0.487±0.048,0.464±0.044,0.464±0.044,1.09±0.43s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.597±0.141,0.487±0.051,0.464±0.059,0.464±0.059,1.44±0.51s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.584±0.120,0.487±0.048,0.464±0.044,0.464±0.044,1.25±0.56s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.579±0.140,0.486±0.052,0.468±0.040,0.468±0.040,1.18±0.60s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.579±0.140,0.486±0.052,0.468±0.040,0.468±0.040,1.24±0.52s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.592±0.147,0.485±0.044,0.463±0.054,0.463±0.054,1.09±0.43s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.592±0.147,0.485±0.044,0.463±0.054,0.463±0.054,1.31±0.56s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.558±0.114,0.484±0.054,0.461±0.056,0.461±0.056,1.07±0.45s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.558±0.114,0.484±0.054,0.461±0.056,0.461±0.056,1.24±0.45s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.565±0.128,0.482±0.049,0.461±0.048,0.461±0.048,1.08±0.42s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.565±0.128,0.482±0.049,0.461±0.048,0.461±0.048,1.21±0.52s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.569±0.129,0.481±0.050,0.468±0.053,0.468±0.053,1.17±0.48s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.543±0.116,0.481±0.051,0.455±0.049,0.455±0.049,1.17±0.55s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.548±0.131,0.481±0.055,0.460±0.048,0.460±0.048,1.13±0.52s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.538±0.109,0.481±0.051,0.461±0.053,0.461±0.053,1.03±0.44s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.538±0.110,0.481±0.052,0.456±0.051,0.456±0.051,1.15±0.56s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.534±0.122,0.481±0.053,0.459±0.051,0.459±0.051,1.12±0.65s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.569±0.129,0.481±0.050,0.468±0.053,0.468±0.053,1.30±0.55s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.543±0.116,0.481±0.051,0.455±0.049,0.455±0.049,1.29±0.56s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.548±0.131,0.481±0.055,0.460±0.048,0.460±0.048,1.23±0.63s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.538±0.109,0.481±0.051,0.461±0.053,0.461±0.053,1.25±0.69s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.538±0.110,0.481±0.052,0.456±0.051,0.456±0.051,1.29±0.51s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.534±0.122,0.481±0.053,0.459±0.051,0.459±0.051,1.24±0.46s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.555±0.119,0.480±0.052,0.466±0.050,0.466±0.050,1.11±0.55s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.555±0.119,0.480±0.052,0.466±0.050,0.466±0.050,1.18±0.37s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.531±0.093,0.475±0.048,0.464±0.052,0.464±0.052,2.50±0.97s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.531±0.093,0.475±0.048,0.464±0.052,0.464±0.052,1.20±0.50s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.545±0.112,0.475±0.054,0.464±0.054,0.464±0.054,1.07±0.51s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.538±0.121,0.475±0.051,0.457±0.054,0.457±0.054,1.10±0.51s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.545±0.112,0.475±0.054,0.464±0.054,0.464±0.054,1.31±0.56s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.538±0.121,0.475±0.051,0.457±0.054,0.457±0.054,1.24±0.57s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.537±0.139,0.473±0.051,0.469±0.054,0.469±0.054,2.88±1.25s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.537±0.139,0.473±0.051,0.469±0.054,0.469±0.054,1.21±0.79s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.514±0.115,0.470±0.051,0.461±0.046,0.461±0.046,1.74±0.66s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.514±0.115,0.470±0.051,0.461±0.046,0.461±0.046,1.16±0.66s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.498±0.104,0.468±0.046,0.463±0.047,0.463±0.047,1.70±0.91s
Goodie,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.498±0.104,0.468±0.046,0.463±0.047,0.463±0.047,1.08±0.55s
