model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.925±0.033,0.723±0.064,0.561±0.066,0.561±0.066,1.46±0.44s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.921±0.032,0.722±0.051,0.579±0.076,0.579±0.076,0.63±0.39s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.921±0.056,0.717±0.055,0.590±0.065,0.590±0.065,0.76±0.30s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.929±0.032,0.716±0.058,0.576±0.056,0.576±0.056,0.84±0.23s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.894±0.046,0.715±0.047,0.588±0.063,0.588±0.063,0.54±0.28s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.904±0.066,0.715±0.053,0.594±0.059,0.594±0.059,0.71±0.36s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.919±0.045,0.715±0.066,0.560±0.069,0.560±0.069,1.11±0.51s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.919±0.049,0.713±0.055,0.568±0.052,0.568±0.052,1.28±0.34s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.905±0.067,0.712±0.053,0.566±0.054,0.566±0.054,1.03±0.38s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.895±0.055,0.709±0.053,0.585±0.066,0.585±0.066,0.92±0.28s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.905±0.073,0.705±0.059,0.564±0.061,0.564±0.061,1.16±0.53s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.900±0.037,0.704±0.062,0.589±0.051,0.589±0.051,0.88±0.25s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.912±0.055,0.703±0.055,0.583±0.052,0.583±0.052,1.02±0.26s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.901±0.069,0.703±0.059,0.564±0.071,0.564±0.071,1.30±0.46s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.918±0.034,0.702±0.070,0.582±0.059,0.582±0.059,0.86±0.46s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.897±0.058,0.699±0.058,0.574±0.061,0.574±0.061,0.55±0.29s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.895±0.066,0.697±0.050,0.590±0.065,0.590±0.065,0.92±0.29s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.894±0.043,0.697±0.058,0.597±0.060,0.597±0.060,0.82±0.30s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.900±0.061,0.697±0.058,0.565±0.063,0.565±0.063,0.83±0.42s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.912±0.034,0.694±0.062,0.591±0.071,0.591±0.071,0.89±0.28s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.901±0.082,0.694±0.056,0.572±0.064,0.572±0.064,1.05±0.69s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.912±0.044,0.694±0.063,0.563±0.058,0.563±0.058,0.96±0.49s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.898±0.059,0.694±0.061,0.586±0.062,0.586±0.062,0.69±0.35s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.908±0.054,0.694±0.058,0.570±0.058,0.570±0.058,1.34±0.42s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.903±0.051,0.693±0.057,0.563±0.055,0.563±0.055,1.08±0.55s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.901±0.054,0.692±0.053,0.579±0.059,0.579±0.059,0.68±0.27s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.915±0.035,0.691±0.056,0.591±0.059,0.591±0.059,0.71±0.29s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.906±0.093,0.689±0.063,0.571±0.067,0.571±0.067,1.22±0.40s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.878±0.083,0.689±0.056,0.569±0.060,0.569±0.060,1.02±0.41s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.910±0.047,0.688±0.053,0.571±0.064,0.571±0.064,1.31±0.38s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.911±0.044,0.687±0.055,0.588±0.058,0.588±0.058,0.80±0.27s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.909±0.039,0.686±0.054,0.585±0.067,0.585±0.067,0.72±0.35s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.913±0.059,0.686±0.060,0.578±0.052,0.578±0.052,1.02±0.64s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.859±0.068,0.685±0.059,0.584±0.065,0.584±0.065,1.15±0.40s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.875±0.063,0.680±0.055,0.591±0.071,0.591±0.071,1.27±0.36s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.884±0.056,0.680±0.059,0.586±0.064,0.586±0.064,0.60±0.34s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.871±0.093,0.679±0.053,0.569±0.076,0.569±0.076,1.87±0.52s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.869±0.071,0.679±0.060,0.579±0.075,0.579±0.075,0.74±0.29s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.871±0.078,0.677±0.058,0.556±0.070,0.556±0.070,0.82±0.48s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.895±0.061,0.676±0.050,0.562±0.046,0.562±0.046,1.02±0.41s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.897±0.055,0.675±0.055,0.567±0.071,0.567±0.071,0.91±0.26s
LRGCN,Cornell,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.99,1.0,0.892±0.056,0.674±0.053,0.562±0.063,0.562±0.063,1.86±0.37s
