model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.924±0.003,0.910±0.004,0.910±0.006,0.910±0.006,6.39±1.27s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.923±0.004,0.910±0.004,0.909±0.006,0.909±0.006,5.66±1.15s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.922±0.010,0.910±0.011,0.912±0.012,0.912±0.012,13.93±2.82s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.924±0.003,0.910±0.004,0.910±0.006,0.910±0.006,6.45±1.30s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.923±0.004,0.910±0.004,0.909±0.006,0.909±0.006,5.72±1.16s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.923±0.002,0.909±0.004,0.910±0.007,0.910±0.007,5.70±1.09s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.923±0.002,0.909±0.004,0.910±0.007,0.910±0.007,5.64±1.07s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.921±0.008,0.909±0.010,0.911±0.011,0.911±0.011,13.58±2.65s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.922±0.004,0.908±0.003,0.908±0.006,0.908±0.006,4.78±0.89s
Goodie,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.922±0.004,0.908±0.003,0.908±0.005,0.908±0.005,4.69±0.87s
