model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.968±0.007,0.943±0.003,0.937±0.005,0.937±0.005,97.23±24.58s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.970±0.004,0.942±0.003,0.937±0.006,0.937±0.006,58.91±16.45s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.972±0.002,0.942±0.003,0.936±0.005,0.936±0.005,69.74±14.69s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.968±0.006,0.942±0.004,0.934±0.004,0.934±0.004,48.36±15.06s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.967±0.009,0.942±0.003,0.936±0.005,0.936±0.005,45.80±13.55s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.970±0.002,0.942±0.003,0.938±0.003,0.938±0.003,51.05±6.35s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.970±0.008,0.942±0.003,0.935±0.005,0.935±0.005,50.96±15.11s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.971±0.004,0.942±0.004,0.937±0.005,0.937±0.005,53.84±16.30s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.966±0.008,0.942±0.004,0.936±0.006,0.936±0.006,90.94±29.06s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.965±0.007,0.942±0.004,0.936±0.003,0.936±0.003,87.32±36.60s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.966±0.007,0.942±0.004,0.935±0.006,0.935±0.006,87.40±36.09s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.967±0.009,0.942±0.004,0.935±0.005,0.935±0.005,105.27±37.60s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.971±0.006,0.941±0.003,0.936±0.006,0.936±0.006,39.46±10.21s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.25,0.99,1.0,0.968±0.006,0.941±0.003,0.936±0.005,0.936±0.005,32.86±7.31s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.965±0.008,0.941±0.004,0.936±0.006,0.936±0.006,46.74±13.67s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.970±0.005,0.941±0.004,0.936±0.005,0.936±0.005,60.62±16.70s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.966±0.009,0.941±0.003,0.935±0.006,0.935±0.006,46.90±11.47s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.968±0.009,0.941±0.004,0.934±0.006,0.934±0.006,56.71±20.13s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.967±0.006,0.941±0.003,0.936±0.005,0.936±0.005,45.92±16.89s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.968±0.008,0.941±0.004,0.935±0.006,0.935±0.006,48.22±16.28s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.967±0.008,0.941±0.003,0.934±0.006,0.934±0.006,43.48±13.89s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.966±0.009,0.941±0.004,0.935±0.005,0.935±0.005,97.01±29.60s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.965±0.007,0.941±0.004,0.936±0.007,0.936±0.007,80.23±22.77s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.966±0.007,0.941±0.003,0.935±0.006,0.935±0.006,82.19±27.15s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.968±0.009,0.941±0.003,0.936±0.005,0.936±0.005,105.29±34.23s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.969±0.007,0.941±0.003,0.934±0.004,0.934±0.004,106.91±44.12s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.99,1.0,0.966±0.006,0.940±0.003,0.934±0.004,0.934±0.004,15.30±3.66s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.967±0.003,0.940±0.002,0.936±0.003,0.936±0.003,16.42±1.81s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.965±0.005,0.940±0.004,0.936±0.005,0.936±0.005,29.06±6.18s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.99,1.0,0.968±0.004,0.940±0.003,0.937±0.005,0.937±0.005,33.74±4.31s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.967±0.004,0.940±0.003,0.937±0.005,0.937±0.005,33.95±7.05s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.965±0.005,0.940±0.004,0.936±0.005,0.936±0.005,28.44±7.49s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.964±0.005,0.940±0.003,0.935±0.006,0.935±0.006,27.45±3.86s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.963±0.006,0.940±0.003,0.936±0.005,0.936±0.005,28.77±5.53s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.99,1.0,0.966±0.004,0.940±0.002,0.936±0.006,0.936±0.006,29.17±4.13s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.5,0.99,1.0,0.965±0.005,0.940±0.003,0.936±0.005,0.936±0.005,28.48±5.41s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.967±0.006,0.940±0.003,0.935±0.004,0.935±0.004,24.19±6.61s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.967±0.004,0.940±0.003,0.935±0.006,0.935±0.006,22.29±5.53s
LRGCN,Photo,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.968±0.002,0.940±0.002,0.936±0.004,0.936±0.004,24.05±1.39s
