model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.860±0.006,0.840±0.005,0.841±0.003,0.841±0.003,2.66±0.26s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.859±0.005,0.840±0.005,0.841±0.003,0.841±0.003,2.58±0.24s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.858±0.006,0.839±0.006,0.841±0.004,0.841±0.004,2.25±0.33s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.858±0.005,0.839±0.005,0.841±0.003,0.841±0.003,2.08±0.17s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.855±0.007,0.838±0.004,0.840±0.002,0.840±0.002,1.70±0.28s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.855±0.006,0.838±0.004,0.840±0.002,0.840±0.002,1.59±0.24s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.856±0.007,0.838±0.005,0.839±0.004,0.839±0.004,1.59±0.24s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.858±0.007,0.838±0.005,0.840±0.005,0.840±0.005,2.03±0.20s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.855±0.006,0.838±0.006,0.841±0.002,0.841±0.002,1.90±0.19s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.855±0.005,0.838±0.005,0.839±0.003,0.839±0.003,1.57±0.20s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.858±0.007,0.838±0.005,0.839±0.004,0.839±0.004,2.05±0.19s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.859±0.004,0.838±0.006,0.842±0.002,0.842±0.002,2.03±0.05s
Goodie,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.858±0.005,0.838±0.003,0.842±0.003,0.842±0.003,2.46±0.21s
