model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.125,0.99,1.0,0.917±0.012,0.875±0.003,0.860±0.002,0.860±0.002,8.15±2.11s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.99,1.0,0.911±0.010,0.873±0.002,0.861±0.003,0.861±0.003,6.48±1.30s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.920±0.003,0.875±0.003,0.861±0.003,0.861±0.003,7.56±0.35s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.922±0.003,0.877±0.002,0.863±0.003,0.863±0.003,8.31±1.15s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.910±0.008,0.876±0.004,0.863±0.003,0.863±0.003,6.06±1.05s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.920±0.004,0.877±0.003,0.861±0.004,0.861±0.004,9.57±1.11s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.912±0.018,0.877±0.004,0.859±0.004,0.859±0.004,9.53±1.57s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.908±0.012,0.875±0.004,0.861±0.003,0.861±0.003,8.44±1.33s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,1.0,0.99,1.0,0.920±0.013,0.877±0.004,0.860±0.002,0.860±0.002,11.16±2.63s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,2.0,0.99,1.0,0.904±0.015,0.873±0.006,0.859±0.002,0.859±0.002,8.93±2.60s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.125,0.99,1.0,0.916±0.015,0.877±0.004,0.860±0.004,0.860±0.004,12.27±1.55s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.25,0.99,1.0,0.921±0.007,0.878±0.002,0.860±0.003,0.860±0.003,13.05±1.53s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.5,0.99,1.0,0.913±0.011,0.877±0.003,0.860±0.003,0.860±0.003,11.37±1.19s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,1.0,0.99,1.0,0.914±0.013,0.876±0.004,0.859±0.002,0.859±0.002,11.85±1.68s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,2.0,0.99,1.0,0.925±0.006,0.878±0.003,0.858±0.004,0.858±0.004,14.35±1.86s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.916±0.013,0.873±0.003,0.860±0.003,0.860±0.003,10.87±3.01s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.99,1.0,0.920±0.009,0.873±0.002,0.859±0.002,0.859±0.002,11.99±2.65s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.908±0.010,0.872±0.003,0.861±0.003,0.861±0.003,9.08±1.83s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.99,1.0,0.914±0.012,0.873±0.003,0.862±0.002,0.862±0.002,11.45±3.66s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.916±0.014,0.875±0.003,0.861±0.005,0.861±0.005,11.68±3.49s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.914±0.009,0.875±0.002,0.859±0.004,0.859±0.004,12.13±2.26s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.914±0.012,0.875±0.003,0.859±0.002,0.859±0.002,12.03±2.24s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.921±0.010,0.875±0.002,0.860±0.003,0.860±0.003,14.44±2.69s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,1.0,0.99,1.0,0.919±0.015,0.875±0.001,0.857±0.003,0.857±0.003,14.86±4.28s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,2.0,0.99,1.0,0.910±0.017,0.872±0.006,0.859±0.003,0.859±0.003,13.22±4.63s
LRGCN,Pubmed,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.904±0.013,0.874±0.004,0.860±0.003,0.860±0.003,13.26±1.57s
