model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.780±0.078,0.649±0.050,0.593±0.069,0.593±0.069,1.53±0.62s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.780±0.078,0.649±0.050,0.593±0.069,0.593±0.069,1.52±0.50s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.794±0.080,0.648±0.046,0.579±0.068,0.579±0.068,1.57±0.45s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.794±0.080,0.648±0.046,0.579±0.068,0.579±0.068,1.66±0.66s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.762±0.082,0.635±0.058,0.581±0.081,0.581±0.081,1.38±0.55s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.762±0.082,0.635±0.058,0.581±0.081,0.581±0.081,1.49±0.61s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.729±0.101,0.634±0.065,0.587±0.076,0.587±0.076,1.63±0.72s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.729±0.101,0.634±0.065,0.587±0.076,0.587±0.076,1.34±0.52s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.766±0.089,0.634±0.056,0.578±0.071,0.578±0.071,1.28±0.56s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.766±0.089,0.634±0.056,0.578±0.071,0.578±0.071,1.40±0.53s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.734±0.111,0.632±0.070,0.589±0.066,0.589±0.066,1.43±0.52s
Goodie,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.734±0.111,0.632±0.070,0.589±0.066,0.589±0.066,1.65±0.62s
