model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.966±0.035,0.851±0.039,0.679±0.052,0.679±0.052,1.25±0.47s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.963±0.032,0.851±0.037,0.677±0.063,0.677±0.063,0.94±0.44s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.971±0.023,0.849±0.040,0.692±0.061,0.692±0.061,0.59±0.35s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.953±0.063,0.849±0.038,0.691±0.055,0.691±0.055,0.84±0.28s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.971±0.028,0.848±0.048,0.705±0.050,0.705±0.050,0.75±0.26s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.971±0.028,0.845±0.048,0.694±0.048,0.694±0.048,0.94±0.26s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.945±0.053,0.841±0.054,0.695±0.063,0.695±0.063,0.94±0.58s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.941±0.058,0.840±0.050,0.695±0.062,0.695±0.062,0.91±0.40s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.964±0.035,0.839±0.047,0.723±0.051,0.723±0.051,0.79±0.46s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.968±0.029,0.839±0.058,0.704±0.057,0.704±0.057,0.81±0.33s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.962±0.034,0.836±0.039,0.684±0.070,0.684±0.070,0.92±0.50s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.955±0.045,0.835±0.044,0.706±0.044,0.706±0.044,0.99±0.49s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.971±0.029,0.834±0.044,0.688±0.053,0.688±0.053,0.98±0.41s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.947±0.057,0.832±0.058,0.700±0.057,0.700±0.057,0.76±0.28s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.965±0.034,0.831±0.051,0.700±0.057,0.700±0.057,0.73±0.32s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.952±0.052,0.830±0.051,0.695±0.057,0.695±0.057,1.07±0.39s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.950±0.054,0.830±0.049,0.705±0.060,0.705±0.060,1.26±0.36s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.971±0.024,0.828±0.050,0.689±0.054,0.689±0.054,0.58±0.32s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.956±0.046,0.828±0.046,0.705±0.047,0.705±0.047,0.98±0.28s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.948±0.043,0.828±0.055,0.704±0.053,0.704±0.053,0.55±0.28s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.949±0.061,0.828±0.053,0.706±0.059,0.706±0.059,1.00±0.47s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.961±0.035,0.827±0.050,0.700±0.050,0.700±0.050,1.23±0.49s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.945±0.043,0.824±0.054,0.704±0.062,0.704±0.062,0.98±0.36s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.947±0.044,0.824±0.058,0.710±0.050,0.710±0.050,0.63±0.27s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.948±0.044,0.824±0.060,0.718±0.055,0.718±0.055,0.72±0.22s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.953±0.049,0.823±0.062,0.710±0.054,0.710±0.054,0.83±0.24s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.968±0.038,0.819±0.054,0.712±0.058,0.712±0.058,0.67±0.35s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.948±0.047,0.819±0.046,0.702±0.058,0.702±0.058,0.98±0.36s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.956±0.049,0.819±0.059,0.717±0.052,0.717±0.052,0.62±0.37s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.937±0.044,0.818±0.061,0.708±0.060,0.708±0.060,0.82±0.39s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.99,1.0,0.952±0.057,0.817±0.051,0.687±0.067,0.687±0.067,1.00±0.38s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.954±0.041,0.816±0.039,0.684±0.067,0.684±0.067,1.18±0.51s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.958±0.041,0.816±0.057,0.709±0.052,0.709±0.052,1.12±0.52s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.929±0.056,0.815±0.057,0.706±0.063,0.706±0.063,0.80±0.29s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.955±0.042,0.814±0.043,0.708±0.066,0.708±0.066,1.17±0.48s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.937±0.072,0.814±0.055,0.729±0.044,0.729±0.044,0.63±0.34s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.942±0.062,0.814±0.050,0.696±0.051,0.696±0.051,1.07±0.41s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.125,0.99,1.0,0.965±0.029,0.813±0.049,0.704±0.061,0.704±0.061,1.30±0.41s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.918±0.070,0.813±0.049,0.701±0.054,0.701±0.054,1.11±0.60s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.939±0.061,0.811±0.056,0.689±0.046,0.689±0.046,1.19±0.44s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.956±0.047,0.810±0.054,0.693±0.067,0.693±0.067,0.72±0.29s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.966±0.039,0.810±0.053,0.702±0.059,0.702±0.059,1.14±0.45s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.925±0.069,0.809±0.054,0.686±0.060,0.686±0.060,1.00±0.52s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.99,1.0,0.964±0.029,0.807±0.046,0.685±0.051,0.685±0.051,1.25±0.31s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.931±0.057,0.806±0.051,0.703±0.064,0.703±0.064,0.95±0.37s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.932±0.063,0.806±0.048,0.703±0.063,0.703±0.063,0.63±0.36s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.929±0.063,0.806±0.053,0.700±0.057,0.700±0.057,0.78±0.21s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.928±0.066,0.806±0.063,0.708±0.045,0.708±0.045,0.82±0.27s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.951±0.045,0.805±0.059,0.729±0.053,0.729±0.053,0.95±0.37s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.930±0.058,0.804±0.045,0.671±0.066,0.671±0.066,1.13±0.47s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.940±0.075,0.804±0.051,0.701±0.064,0.701±0.064,0.92±0.24s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.99,1.0,0.940±0.052,0.803±0.040,0.671±0.064,0.671±0.064,0.95±0.48s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.923±0.060,0.802±0.057,0.685±0.061,0.685±0.061,1.18±0.23s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.125,0.99,1.0,0.923±0.078,0.801±0.053,0.704±0.064,0.704±0.064,0.61±0.27s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.25,0.99,1.0,0.925±0.069,0.801±0.056,0.701±0.061,0.701±0.061,0.69±0.35s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.926±0.052,0.800±0.061,0.684±0.061,0.684±0.061,0.91±0.40s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.941±0.065,0.798±0.057,0.704±0.052,0.704±0.052,0.56±0.26s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.5,0.99,1.0,0.916±0.077,0.797±0.054,0.701±0.053,0.701±0.053,0.99±0.32s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.916±0.071,0.796±0.062,0.704±0.056,0.704±0.056,0.90±0.33s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.935±0.062,0.796±0.063,0.719±0.049,0.719±0.049,0.58±0.33s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.931±0.074,0.794±0.049,0.696±0.046,0.696±0.046,1.18±0.37s
LRGCN,Texas,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.921±0.073,0.793±0.042,0.703±0.051,0.703±0.051,1.08±0.26s
