model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.702±0.076,0.595±0.048,0.562±0.053,0.562±0.053,1.58±0.59s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.702±0.076,0.595±0.048,0.562±0.053,0.562±0.053,1.67±0.64s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.680±0.085,0.593±0.049,0.550±0.048,0.550±0.048,1.60±0.58s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.680±0.085,0.593±0.049,0.550±0.048,0.550±0.048,1.80±0.76s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.692±0.081,0.593±0.045,0.557±0.042,0.557±0.042,1.47±0.51s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.692±0.081,0.593±0.045,0.557±0.042,0.557±0.042,1.62±0.57s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.692±0.081,0.592±0.042,0.554±0.043,0.554±0.043,1.39±0.63s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.700±0.081,0.592±0.046,0.551±0.043,0.551±0.043,1.44±0.61s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.692±0.081,0.592±0.042,0.554±0.043,0.554±0.043,1.56±0.52s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.700±0.081,0.592±0.046,0.551±0.043,0.551±0.043,1.84±0.47s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.691±0.084,0.591±0.050,0.551±0.042,0.551±0.042,1.51±0.65s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.678±0.091,0.591±0.053,0.548±0.068,0.548±0.068,1.63±0.50s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.691±0.084,0.591±0.050,0.551±0.042,0.551±0.042,1.70±0.63s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.678±0.091,0.591±0.053,0.548±0.068,0.548±0.068,1.79±0.73s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.688±0.081,0.590±0.044,0.555±0.040,0.555±0.040,1.44±0.52s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.688±0.081,0.590±0.044,0.555±0.040,0.555±0.040,1.71±0.65s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.694±0.103,0.589±0.046,0.543±0.039,0.543±0.039,1.69±0.66s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.694±0.103,0.589±0.046,0.543±0.039,0.543±0.039,1.79±0.77s
Goodie,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.741±0.093,0.589±0.042,0.549±0.046,0.549±0.046,1.58±0.63s
