model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.579±0.092,0.442±0.070,0.444±0.059,0.444±0.059,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.579±0.092,0.442±0.070,0.444±0.059,0.444±0.059,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.579±0.092,0.442±0.070,0.444±0.059,0.444±0.059,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.579±0.092,0.442±0.070,0.444±0.059,0.444±0.059,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.579±0.092,0.442±0.070,0.444±0.059,0.444±0.059,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.579±0.092,0.442±0.070,0.444±0.059,0.444±0.059,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.470±0.086,0.425±0.092,0.419±0.096,0.419±0.096,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.470±0.086,0.425±0.092,0.419±0.096,0.419±0.096,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.470±0.086,0.425±0.092,0.419±0.096,0.419±0.096,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.470±0.086,0.425±0.092,0.419±0.096,0.419±0.096,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.470±0.086,0.425±0.092,0.419±0.096,0.419±0.096,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.470±0.086,0.425±0.092,0.419±0.096,0.419±0.096,0.01±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.949±0.028,0.423±0.045,0.413±0.050,0.413±0.050,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.949±0.028,0.423±0.045,0.413±0.050,0.413±0.050,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.949±0.028,0.423±0.045,0.413±0.050,0.413±0.050,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.949±0.028,0.423±0.045,0.413±0.050,0.413±0.050,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.949±0.028,0.423±0.045,0.413±0.050,0.413±0.050,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.949±0.028,0.423±0.045,0.413±0.050,0.413±0.050,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.996±0.006,0.343±0.077,0.339±0.055,0.339±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.996±0.006,0.343±0.077,0.339±0.055,0.339±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.996±0.006,0.343±0.077,0.339±0.055,0.339±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.996±0.006,0.343±0.077,0.339±0.055,0.339±0.055,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.996±0.006,0.343±0.077,0.339±0.055,0.339±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.996±0.006,0.343±0.077,0.339±0.055,0.339±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.294±0.081,0.296±0.055,0.296±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.294±0.081,0.296±0.055,0.296±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.294±0.081,0.296±0.055,0.296±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.294±0.081,0.296±0.055,0.296±0.055,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.294±0.081,0.296±0.055,0.296±0.055,0.02±0.00s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.294±0.081,0.296±0.055,0.296±0.055,0.02±0.02s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.279±0.082,0.279±0.058,0.279±0.058,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.279±0.082,0.279±0.058,0.279±0.058,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.279±0.082,0.279±0.058,0.279±0.058,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.279±0.082,0.279±0.058,0.279±0.058,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.279±0.082,0.279±0.058,0.279±0.058,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.279±0.082,0.279±0.058,0.279±0.058,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.269±0.091,0.270±0.064,0.270±0.064,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.269±0.091,0.270±0.064,0.270±0.064,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.269±0.091,0.270±0.064,0.270±0.064,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.269±0.091,0.270±0.064,0.270±0.064,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.269±0.091,0.270±0.064,0.270±0.064,0.02±0.01s
LP,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.269±0.091,0.270±0.064,0.270±0.064,0.02±0.00s
