model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.968±0.024,0.814±0.044,0.647±0.071,0.647±0.071,0.97±0.30s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.966±0.027,0.812±0.046,0.651±0.070,0.651±0.070,1.02±0.44s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.945±0.042,0.811±0.049,0.622±0.056,0.622±0.056,1.19±0.53s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.950±0.046,0.808±0.053,0.628±0.066,0.628±0.066,1.03±0.60s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.965±0.039,0.807±0.044,0.651±0.062,0.651±0.062,0.64±0.32s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.946±0.048,0.805±0.052,0.622±0.054,0.622±0.054,1.01±0.57s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.964±0.034,0.799±0.049,0.649±0.059,0.649±0.059,1.45±0.47s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.960±0.049,0.795±0.047,0.655±0.060,0.655±0.060,0.86±0.37s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.966±0.026,0.791±0.044,0.653±0.059,0.653±0.059,0.65±0.34s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.950±0.044,0.790±0.044,0.637±0.061,0.637±0.061,1.06±0.46s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.936±0.053,0.789±0.047,0.632±0.067,0.632±0.067,0.94±0.51s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.951±0.041,0.789±0.046,0.626±0.068,0.626±0.068,1.06±0.44s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.969±0.034,0.785±0.043,0.628±0.069,0.628±0.069,1.03±0.53s
LRGCN,Wisconsin,uniform,0.0,struct,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.959±0.034,0.782±0.050,0.644±0.065,0.644±0.065,0.91±0.20s
