model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.333±0.042,0.267±0.004,0.262±0.007,0.262±0.007,0.82±0.21s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.333±0.042,0.267±0.004,0.262±0.007,0.262±0.007,0.81±0.20s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.357±0.083,0.266±0.004,0.254±0.009,0.254±0.009,0.76±0.20s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.377±0.112,0.266±0.004,0.254±0.009,0.254±0.009,0.79±0.27s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.360±0.078,0.265±0.004,0.254±0.009,0.254±0.009,0.73±0.20s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.320±0.041,0.265±0.007,0.255±0.007,0.255±0.007,0.57±0.06s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.318±0.058,0.265±0.005,0.255±0.007,0.255±0.007,0.79±0.26s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.381±0.105,0.265±0.004,0.255±0.009,0.255±0.009,0.75±0.24s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.317±0.057,0.265±0.005,0.256±0.007,0.256±0.007,0.79±0.26s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.321±0.048,0.265±0.005,0.256±0.007,0.256±0.007,0.72±0.20s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.326±0.058,0.265±0.005,0.254±0.008,0.254±0.008,0.74±0.23s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.309±0.056,0.264±0.004,0.257±0.005,0.257±0.005,0.68±0.25s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.320±0.041,0.264±0.007,0.255±0.007,0.255±0.007,0.57±0.06s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.309±0.056,0.264±0.004,0.257±0.005,0.257±0.005,0.68±0.25s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.389±0.097,0.264±0.006,0.251±0.011,0.251±0.011,0.75±0.15s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.322±0.039,0.264±0.006,0.255±0.008,0.255±0.008,0.72±0.16s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.389±0.097,0.264±0.006,0.251±0.011,0.251±0.011,0.74±0.15s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.320±0.036,0.264±0.006,0.254±0.008,0.254±0.008,0.71±0.15s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.346±0.056,0.264±0.006,0.257±0.006,0.257±0.006,0.74±0.17s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.304±0.054,0.264±0.005,0.257±0.007,0.257±0.007,0.67±0.13s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.316±0.052,0.264±0.006,0.256±0.006,0.256±0.006,0.64±0.15s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.346±0.057,0.264±0.006,0.257±0.006,0.257±0.006,0.73±0.17s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.304±0.053,0.264±0.005,0.257±0.006,0.257±0.006,0.69±0.14s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.316±0.052,0.264±0.006,0.256±0.006,0.256±0.006,0.64±0.15s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.264±0.010,0.263±0.006,0.257±0.003,0.257±0.003,0.52±0.07s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.264±0.010,0.263±0.006,0.254±0.007,0.254±0.007,0.54±0.06s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.264±0.010,0.263±0.006,0.257±0.003,0.257±0.003,0.51±0.07s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.264±0.010,0.263±0.006,0.254±0.007,0.254±0.007,0.54±0.06s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.351±0.079,0.263±0.007,0.251±0.013,0.251±0.013,0.67±0.12s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.314±0.036,0.263±0.007,0.257±0.008,0.257±0.008,0.70±0.13s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.351±0.079,0.263±0.007,0.251±0.013,0.251±0.013,0.68±0.13s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.314±0.036,0.263±0.007,0.257±0.009,0.257±0.009,0.71±0.13s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.404±0.086,0.263±0.006,0.257±0.007,0.257±0.007,0.67±0.14s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.267±0.005,0.263±0.009,0.255±0.003,0.255±0.003,0.59±0.10s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.404±0.086,0.263±0.006,0.257±0.007,0.257±0.007,0.68±0.14s
Goodie,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.267±0.005,0.263±0.009,0.255±0.003,0.255±0.003,0.59±0.10s
