model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.783±0.007,0.621±0.007,0.277±0.008,0.277±0.008,15.22±0.40s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.777±0.009,0.616±0.010,0.269±0.010,0.269±0.010,14.96±0.66s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.773±0.013,0.615±0.015,0.271±0.008,0.271±0.008,14.44±0.71s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.789±0.007,0.609±0.011,0.276±0.010,0.276±0.010,7.19±0.47s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.812±0.016,0.606±0.009,0.277±0.010,0.277±0.010,7.66±0.50s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.782±0.013,0.605±0.008,0.280±0.009,0.280±0.009,7.19±0.53s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.822±0.013,0.605±0.007,0.276±0.006,0.276±0.006,16.60±1.09s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.828±0.010,0.596±0.010,0.278±0.007,0.278±0.007,8.31±0.37s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.798±0.011,0.594±0.007,0.275±0.010,0.275±0.010,8.89±0.61s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.821±0.031,0.593±0.016,0.281±0.006,0.281±0.006,16.62±1.09s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.809±0.007,0.591±0.009,0.274±0.009,0.274±0.009,4.84±0.36s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.786±0.024,0.591±0.008,0.276±0.012,0.276±0.012,8.79±0.74s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.777±0.011,0.591±0.006,0.276±0.010,0.276±0.010,8.67±0.45s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.843±0.012,0.591±0.012,0.277±0.009,0.277±0.009,17.70±0.57s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.808±0.011,0.590±0.008,0.273±0.011,0.273±0.011,9.25±0.64s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.933±0.007,0.590±0.014,0.271±0.009,0.271±0.009,23.64±3.85s
LRGCN,Actor,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.799±0.007,0.589±0.011,0.282±0.007,0.282±0.007,4.70±0.32s
