model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.845±0.011,0.691±0.017,0.678±0.014,0.678±0.014,10.11±7.15s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.845±0.011,0.691±0.017,0.678±0.014,0.678±0.014,13.05±4.50s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.840±0.012,0.689±0.012,0.673±0.017,0.673±0.017,2.23±1.38s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.840±0.012,0.689±0.012,0.673±0.017,0.673±0.017,1.03±0.34s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.835±0.013,0.686±0.014,0.673±0.014,0.673±0.014,1.74±1.10s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.835±0.013,0.686±0.014,0.673±0.014,0.673±0.014,1.02±0.33s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.824±0.042,0.683±0.018,0.661±0.015,0.661±0.015,21.64±6.67s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.824±0.042,0.683±0.018,0.661±0.015,0.661±0.015,3.84±2.59s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.829±0.020,0.682±0.009,0.667±0.013,0.667±0.013,1.00±0.09s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.829±0.020,0.682±0.009,0.667±0.013,0.667±0.013,0.98±0.08s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.844±0.010,0.681±0.016,0.673±0.011,0.673±0.011,6.47±4.58s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.819±0.022,0.681±0.013,0.665±0.008,0.665±0.008,7.24±5.56s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.820±0.026,0.681±0.017,0.669±0.017,0.669±0.017,10.81±2.10s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.844±0.010,0.681±0.016,0.673±0.011,0.673±0.011,2.05±1.14s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.819±0.022,0.681±0.013,0.665±0.008,0.665±0.008,10.01±5.33s
Goodie,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.820±0.026,0.681±0.017,0.669±0.017,0.669±0.017,7.92±5.45s
