model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.922±0.041,0.847±0.007,0.743±0.009,0.743±0.009,1.46±0.16s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.918±0.032,0.845±0.009,0.740±0.010,0.740±0.010,0.99±0.50s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.932±0.059,0.845±0.008,0.727±0.016,0.727±0.016,2.30±1.85s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.979±0.043,0.845±0.011,0.720±0.010,0.720±0.010,3.21±1.72s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.918±0.044,0.844±0.006,0.741±0.009,0.741±0.009,0.54±0.16s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.903±0.053,0.844±0.013,0.734±0.009,0.734±0.009,2.51±0.94s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.912±0.025,0.840±0.007,0.745±0.009,0.745±0.009,3.93±0.17s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.959±0.051,0.840±0.008,0.726±0.009,0.726±0.009,3.92±1.49s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.938±0.041,0.839±0.011,0.735±0.014,0.735±0.014,1.68±0.40s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.916±0.046,0.839±0.009,0.730±0.009,0.730±0.009,0.97±0.33s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.902±0.014,0.838±0.010,0.743±0.008,0.743±0.008,3.09±1.06s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.952±0.060,0.836±0.010,0.725±0.009,0.725±0.009,2.06±1.46s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.932±0.036,0.835±0.007,0.738±0.009,0.738±0.009,1.27±0.22s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.945±0.038,0.835±0.011,0.735±0.009,0.735±0.009,0.64±0.14s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.910±0.047,0.834±0.011,0.740±0.008,0.740±0.008,2.42±1.01s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.883±0.013,0.833±0.009,0.742±0.008,0.742±0.008,0.54±0.12s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.917±0.024,0.832±0.011,0.740±0.010,0.740±0.010,3.99±0.24s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.910±0.021,0.831±0.009,0.744±0.009,0.744±0.009,3.80±0.38s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.934±0.020,0.831±0.012,0.743±0.011,0.743±0.011,1.79±1.21s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.886±0.017,0.831±0.009,0.743±0.006,0.743±0.006,0.88±0.47s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.912±0.024,0.829±0.012,0.746±0.006,0.746±0.006,2.23±0.83s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.904±0.016,0.828±0.012,0.744±0.009,0.744±0.009,2.94±1.16s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.883±0.021,0.828±0.007,0.740±0.011,0.740±0.011,1.81±0.06s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.905±0.014,0.827±0.008,0.742±0.010,0.742±0.010,3.73±0.25s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.885±0.027,0.827±0.009,0.743±0.008,0.743±0.008,6.05±1.73s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.921±0.035,0.827±0.010,0.731±0.006,0.731±0.006,1.42±0.08s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.887±0.022,0.826±0.006,0.732±0.012,0.732±0.012,1.67±0.52s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.889±0.027,0.825±0.008,0.746±0.011,0.746±0.011,5.53±1.34s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.947±0.034,0.824±0.009,0.734±0.011,0.734±0.011,3.39±1.17s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.25,0.99,1.0,0.907±0.007,0.823±0.007,0.743±0.013,0.743±0.013,3.69±0.19s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.5,0.99,1.0,0.932±0.022,0.822±0.010,0.735±0.010,0.735±0.010,1.61±0.39s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.977±0.046,0.822±0.011,0.721±0.008,0.721±0.008,3.09±1.21s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.125,0.99,1.0,0.910±0.023,0.821±0.013,0.743±0.008,0.743±0.008,2.06±0.63s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.882±0.016,0.820±0.006,0.741±0.005,0.741±0.005,6.82±0.29s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.5,0.99,1.0,0.947±0.048,0.820±0.008,0.730±0.006,0.730±0.006,1.35±0.93s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,1.0,0.99,1.0,0.934±0.017,0.819±0.009,0.738±0.009,0.738±0.009,2.53±1.31s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.25,0.99,1.0,0.885±0.016,0.819±0.005,0.742±0.007,0.742±0.007,3.69±0.91s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.978±0.043,0.819±0.008,0.719±0.010,0.719±0.010,2.80±0.72s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.913±0.050,0.819±0.011,0.729±0.008,0.729±0.008,1.29±0.71s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.879±0.019,0.818±0.012,0.737±0.005,0.737±0.005,6.79±0.24s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,1.000±0.000,0.817±0.008,0.728±0.009,0.728±0.009,3.52±1.07s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.5,0.99,1.0,0.887±0.018,0.816±0.009,0.739±0.011,0.739±0.011,6.33±1.87s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.921±0.021,0.816±0.010,0.734±0.008,0.734±0.008,2.88±1.16s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,1.000±0.000,0.815±0.010,0.725±0.013,0.725±0.013,3.79±1.02s
LRGCN,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,1.0,0.99,1.0,0.940±0.008,0.812±0.009,0.738±0.007,0.738±0.007,3.87±0.10s
