model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.911±0.005,0.844±0.017,0.842±0.017,0.842±0.017,14.85±6.08s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.911±0.005,0.844±0.017,0.842±0.017,0.842±0.017,2.51±1.48s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.908±0.010,0.843±0.017,0.843±0.016,0.843±0.016,13.03±3.45s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.910±0.009,0.843±0.015,0.847±0.015,0.847±0.015,13.82±1.84s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.908±0.010,0.843±0.017,0.843±0.016,0.843±0.016,2.28±1.00s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.910±0.009,0.843±0.015,0.847±0.015,0.847±0.015,2.28±0.45s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.908±0.006,0.843±0.019,0.844±0.017,0.844±0.017,1.83±0.89s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.908±0.006,0.843±0.019,0.844±0.017,0.844±0.017,2.69±2.01s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.907±0.011,0.843±0.019,0.842±0.013,0.842±0.013,0.98±0.24s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.907±0.011,0.843±0.019,0.842±0.013,0.842±0.013,0.97±0.23s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.908±0.008,0.842±0.019,0.846±0.016,0.846±0.016,1.86±0.90s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.908±0.007,0.842±0.018,0.843±0.016,0.843±0.016,2.45±1.40s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.908±0.008,0.842±0.019,0.846±0.016,0.846±0.016,2.32±1.19s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.908±0.007,0.842±0.018,0.843±0.016,0.843±0.016,2.19±1.37s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.908±0.010,0.842±0.018,0.843±0.014,0.843±0.014,0.96±0.23s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.907±0.008,0.842±0.018,0.845±0.016,0.845±0.016,0.98±0.15s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.908±0.010,0.842±0.018,0.843±0.014,0.843±0.014,0.97±0.24s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.907±0.008,0.842±0.018,0.845±0.016,0.845±0.016,0.97±0.15s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.921±0.020,0.839±0.016,0.843±0.014,0.843±0.014,12.02±8.13s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.921±0.020,0.839±0.016,0.843±0.014,0.843±0.014,3.66±1.95s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.924±0.020,0.839±0.014,0.836±0.018,0.836±0.018,1.33±0.25s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.924±0.020,0.839±0.014,0.836±0.018,0.836±0.018,1.31±0.25s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.924±0.013,0.838±0.014,0.844±0.012,0.844±0.012,1.27±0.07s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.924±0.013,0.838±0.014,0.844±0.012,0.844±0.012,1.24±0.07s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.915±0.027,0.837±0.018,0.843±0.013,0.843±0.013,12.49±0.77s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.924±0.021,0.837±0.010,0.838±0.014,0.838±0.014,14.11±4.72s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.914±0.026,0.837±0.018,0.843±0.013,0.843±0.013,3.10±1.00s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.924±0.021,0.837±0.010,0.838±0.014,0.838±0.014,3.75±1.37s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.917±0.016,0.836±0.012,0.841±0.016,0.841±0.016,2.51±0.90s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.917±0.016,0.836±0.012,0.841±0.016,0.841±0.016,4.00±2.43s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.913±0.013,0.835±0.013,0.840±0.011,0.840±0.011,2.37±1.45s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.912±0.013,0.835±0.013,0.839±0.011,0.839±0.011,1.35±0.13s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.910±0.013,0.835±0.011,0.839±0.014,0.839±0.014,1.33±0.29s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.910±0.013,0.835±0.011,0.839±0.014,0.839±0.014,1.35±0.30s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.921±0.005,0.834±0.012,0.846±0.012,0.846±0.012,2.48±1.27s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.916±0.017,0.834±0.011,0.832±0.005,0.832±0.005,2.41±1.24s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.921±0.005,0.834±0.012,0.846±0.012,0.846±0.012,3.10±1.57s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.910±0.012,0.834±0.011,0.835±0.010,0.835±0.010,1.34±0.14s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.920±0.020,0.834±0.016,0.840±0.010,0.840±0.010,1.19±0.16s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.920±0.020,0.834±0.016,0.840±0.010,0.840±0.010,1.19±0.16s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.925±0.020,0.833±0.014,0.830±0.011,0.830±0.011,10.34±6.10s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.922±0.017,0.833±0.012,0.836±0.016,0.836±0.016,14.12±2.87s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.927±0.020,0.833±0.014,0.831±0.011,0.831±0.011,3.05±1.64s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.917±0.022,0.833±0.013,0.833±0.014,0.833±0.014,2.88±1.22s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.925±0.012,0.833±0.017,0.836±0.010,0.836±0.010,1.50±0.36s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.912±0.023,0.833±0.016,0.838±0.011,0.838±0.011,1.16±0.15s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.924±0.012,0.833±0.017,0.836±0.010,0.836±0.010,1.47±0.35s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.912±0.023,0.833±0.016,0.838±0.011,0.838±0.011,1.15±0.15s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,1.0,0.922±0.015,0.832±0.016,0.831±0.012,0.831±0.012,2.88±1.06s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,1.0,0.917±0.010,0.831±0.015,0.831±0.012,0.831±0.012,3.62±2.21s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,1.0,0.912±0.004,0.830±0.017,0.830±0.013,0.830±0.013,15.07±3.22s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.927±0.016,0.830±0.013,0.838±0.014,0.838±0.014,8.90±6.20s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,1.0,0.912±0.004,0.830±0.017,0.830±0.013,0.830±0.013,2.52±1.38s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.926±0.015,0.830±0.013,0.838±0.014,0.838±0.014,3.27±1.89s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.917±0.018,0.830±0.009,0.836±0.010,0.836±0.010,2.51±1.02s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.933±0.017,0.830±0.015,0.839±0.010,0.839±0.010,3.70±1.49s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.917±0.018,0.830±0.009,0.836±0.010,0.836±0.010,3.18±2.02s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.927±0.017,0.830±0.015,0.839±0.010,0.839±0.010,1.56±0.19s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.918±0.022,0.830±0.015,0.841±0.010,0.841±0.010,1.24±0.12s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.918±0.022,0.830±0.015,0.841±0.010,0.841±0.010,1.23±0.12s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.943±0.015,0.815±0.018,0.815±0.012,0.815±0.012,2.98±0.27s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.940±0.009,0.815±0.018,0.817±0.013,0.817±0.013,2.91±0.24s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,1.0,0.947±0.020,0.802±0.017,0.800±0.010,0.800±0.010,2.89±0.49s
Goodie,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,1.0,0.946±0.021,0.802±0.016,0.800±0.009,0.800±0.009,2.85±0.45s
