model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.940±0.017,0.897±0.007,0.875±0.013,0.875±0.013,2.87±0.69s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.950±0.017,0.895±0.010,0.873±0.014,0.873±0.014,1.33±0.13s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.937±0.025,0.895±0.005,0.873±0.017,0.873±0.017,1.36±0.21s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.946±0.015,0.894±0.008,0.871±0.014,0.871±0.014,1.27±0.12s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.948±0.012,0.894±0.008,0.872±0.012,0.872±0.012,0.38±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.940±0.025,0.894±0.008,0.872±0.015,0.872±0.015,0.46±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.950±0.013,0.894±0.009,0.869±0.013,0.869±0.013,1.37±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.945±0.023,0.893±0.009,0.871±0.017,0.871±0.017,3.53±0.85s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.940±0.019,0.893±0.009,0.870±0.016,0.870±0.016,1.76±0.17s
LRGCN,Cora,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.948±0.027,0.893±0.009,0.872±0.015,0.872±0.015,1.42±0.03s
