model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.718±0.106,0.550±0.061,0.529±0.058,0.529±0.058,1.61±0.84s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.718±0.106,0.550±0.061,0.529±0.058,0.529±0.058,0.75±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.705±0.119,0.548±0.066,0.527±0.060,0.527±0.060,1.48±0.66s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.705±0.119,0.548±0.066,0.527±0.060,0.527±0.060,0.73±0.23s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.676±0.108,0.544±0.061,0.530±0.055,0.530±0.055,1.50±0.47s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.656±0.116,0.544±0.055,0.534±0.050,0.534±0.050,1.53±0.57s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.676±0.108,0.544±0.061,0.530±0.055,0.530±0.055,0.70±0.16s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.657±0.117,0.544±0.055,0.534±0.050,0.534±0.050,0.70±0.17s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.665±0.120,0.543±0.057,0.538±0.056,0.538±0.056,1.50±0.72s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.665±0.120,0.543±0.057,0.538±0.056,0.538±0.056,0.71±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.692±0.126,0.542±0.060,0.525±0.053,0.525±0.053,1.44±0.59s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.692±0.126,0.542±0.060,0.525±0.053,0.525±0.053,1.54±0.73s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.652±0.127,0.540±0.057,0.530±0.061,0.530±0.061,1.55±0.71s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.652±0.127,0.540±0.057,0.530±0.061,0.530±0.061,0.70±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.634±0.118,0.538±0.066,0.518±0.065,0.518±0.065,1.45±0.61s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.634±0.118,0.538±0.066,0.518±0.065,0.518±0.065,1.42±0.75s
Goodie,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.634±0.109,0.538±0.055,0.520±0.067,0.520±0.067,1.54±0.64s
