model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.997±0.007,0.769±0.056,0.662±0.075,0.662±0.075,0.59±0.34s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.998±0.007,0.768±0.054,0.658±0.065,0.658±0.065,0.75±0.28s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.995±0.016,0.768±0.049,0.640±0.077,0.640±0.077,1.23±0.33s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.999±0.006,0.760±0.048,0.654±0.051,0.654±0.051,0.95±0.21s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.997±0.007,0.760±0.067,0.640±0.086,0.640±0.086,1.13±0.56s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.977±0.043,0.759±0.064,0.625±0.068,0.625±0.068,1.00±0.34s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.991±0.021,0.756±0.057,0.662±0.059,0.662±0.059,0.88±0.28s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.986±0.027,0.755±0.055,0.651±0.063,0.651±0.063,0.57±0.27s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.998±0.007,0.754±0.057,0.635±0.062,0.635±0.062,1.03±0.43s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.991±0.031,0.753±0.052,0.641±0.077,0.641±0.077,1.39±0.42s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.989±0.023,0.752±0.055,0.646±0.082,0.646±0.082,0.86±0.20s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.995±0.018,0.751±0.067,0.647±0.075,0.647±0.075,0.61±0.40s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.985±0.031,0.750±0.059,0.659±0.080,0.659±0.080,0.88±0.29s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.992±0.027,0.744±0.062,0.653±0.080,0.653±0.080,0.86±0.29s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.995±0.021,0.744±0.063,0.638±0.057,0.638±0.057,1.12±0.62s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.993±0.021,0.743±0.057,0.639±0.067,0.639±0.067,0.51±0.33s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.996±0.011,0.742±0.066,0.652±0.067,0.652±0.067,0.51±0.29s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.995±0.013,0.741±0.056,0.637±0.070,0.637±0.070,0.77±0.41s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.992±0.023,0.741±0.067,0.633±0.070,0.633±0.070,0.58±0.25s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.993±0.016,0.739±0.063,0.635±0.073,0.635±0.073,0.78±0.18s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.990±0.020,0.739±0.066,0.631±0.059,0.631±0.059,0.91±0.56s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.995±0.013,0.739±0.054,0.636±0.066,0.636±0.066,0.96±0.58s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.998±0.005,0.737±0.064,0.645±0.077,0.645±0.077,0.88±0.33s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.982±0.036,0.737±0.063,0.635±0.060,0.635±0.060,1.04±0.52s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.982±0.033,0.737±0.051,0.630±0.065,0.630±0.065,1.30±0.47s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.992±0.020,0.735±0.059,0.646±0.073,0.646±0.073,0.96±0.31s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.999±0.004,0.734±0.067,0.650±0.081,0.650±0.081,0.94±0.29s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.997±0.007,0.733±0.051,0.646±0.076,0.646±0.076,0.52±0.26s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.987±0.051,0.731±0.062,0.631±0.068,0.631±0.068,1.36±0.45s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.997±0.009,0.730±0.058,0.634±0.082,0.634±0.082,0.57±0.28s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.996±0.015,0.728±0.056,0.641±0.075,0.641±0.075,0.94±0.26s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.992±0.027,0.728±0.063,0.612±0.060,0.612±0.060,1.03±0.45s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.995±0.013,0.727±0.066,0.631±0.086,0.631±0.086,1.45±0.41s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.994±0.016,0.727±0.061,0.627±0.077,0.627±0.077,1.19±0.33s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.998±0.007,0.727±0.066,0.648±0.080,0.648±0.080,0.85±0.22s
LRGCN,Cornell,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.990±0.028,0.727±0.062,0.625±0.076,0.625±0.076,0.93±0.42s
