model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.923±0.003,0.910±0.005,0.910±0.005,0.910±0.005,5.70±1.19s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.923±0.003,0.910±0.003,0.910±0.006,0.910±0.006,5.92±0.96s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.923±0.003,0.910±0.003,0.910±0.007,0.910±0.007,5.95±0.98s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.923±0.002,0.909±0.004,0.910±0.007,0.910±0.007,5.83±1.08s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.923±0.002,0.909±0.004,0.910±0.006,0.910±0.006,5.37±0.76s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.923±0.003,0.909±0.004,0.910±0.007,0.910±0.007,5.88±1.07s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.922±0.003,0.909±0.004,0.909±0.006,0.909±0.006,5.46±0.86s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.922±0.003,0.909±0.004,0.909±0.006,0.909±0.006,5.51±0.86s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.922±0.004,0.908±0.004,0.908±0.006,0.908±0.006,4.83±1.19s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.922±0.004,0.908±0.004,0.908±0.006,0.908±0.006,4.83±1.17s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.920±0.004,0.906±0.005,0.908±0.007,0.908±0.007,3.87±0.84s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.920±0.004,0.906±0.005,0.908±0.007,0.908±0.007,3.93±0.97s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.911±0.007,0.899±0.005,0.902±0.007,0.902±0.007,12.44±1.99s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.912±0.004,0.898±0.002,0.903±0.008,0.903±0.008,12.61±2.16s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.909±0.007,0.898±0.005,0.902±0.007,0.902±0.007,11.49±2.56s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.910±0.004,0.897±0.002,0.901±0.006,0.901±0.006,11.61±1.35s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.908±0.004,0.896±0.006,0.899±0.005,0.899±0.005,9.47±0.51s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.907±0.003,0.896±0.005,0.898±0.005,0.898±0.005,10.01±2.03s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.909±0.005,0.896±0.005,0.899±0.005,0.899±0.005,10.60±2.19s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.906±0.006,0.895±0.009,0.897±0.005,0.897±0.005,8.97±0.88s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.896±0.019,0.889±0.010,0.890±0.018,0.890±0.018,7.43±2.45s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.895±0.019,0.887±0.009,0.889±0.017,0.889±0.017,7.02±2.28s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.897±0.019,0.887±0.016,0.889±0.019,0.889±0.019,8.10±2.58s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.896±0.018,0.885±0.015,0.888±0.018,0.888±0.018,7.50±2.08s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.897±0.018,0.883±0.012,0.888±0.015,0.888±0.015,8.17±2.38s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.897±0.018,0.883±0.012,0.888±0.014,0.888±0.014,8.16±2.39s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.865±0.021,0.861±0.019,0.861±0.016,0.861±0.016,8.48±1.05s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.863±0.021,0.861±0.020,0.859±0.017,0.859±0.017,8.26±1.39s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.866±0.011,0.860±0.007,0.863±0.008,0.863±0.008,9.59±1.47s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.865±0.010,0.860±0.007,0.862±0.007,0.862±0.007,9.46±1.40s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.867±0.004,0.860±0.005,0.862±0.006,0.862±0.006,10.38±0.99s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.867±0.003,0.860±0.005,0.864±0.003,0.864±0.003,10.82±0.68s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.864±0.005,0.859±0.005,0.862±0.008,0.862±0.008,12.50±2.47s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.862±0.009,0.858±0.009,0.858±0.006,0.858±0.006,10.78±1.88s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.861±0.009,0.858±0.006,0.858±0.005,0.858±0.005,12.15±1.98s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.862±0.007,0.857±0.007,0.858±0.004,0.858±0.004,10.99±1.71s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.859±0.015,0.856±0.014,0.854±0.011,0.854±0.011,10.62±2.82s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.860±0.007,0.855±0.004,0.859±0.007,0.859±0.007,11.17±1.94s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.851±0.090,0.836±0.092,0.843±0.090,0.843±0.090,5.15±2.40s
Goodie,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.851±0.090,0.836±0.092,0.843±0.090,0.843±0.090,5.21±2.43s
