model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.986±0.008,0.943±0.004,0.938±0.004,0.938±0.004,55.28±5.06s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.987±0.011,0.942±0.002,0.938±0.004,0.938±0.004,24.06±6.13s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.99,1.0,0.988±0.007,0.942±0.003,0.938±0.004,0.938±0.004,23.00±3.53s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.981±0.008,0.942±0.002,0.938±0.004,0.938±0.004,20.18±2.95s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.985±0.007,0.942±0.001,0.937±0.006,0.937±0.006,21.12±2.77s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.988±0.010,0.942±0.001,0.939±0.005,0.939±0.005,23.78±3.40s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.979±0.004,0.942±0.002,0.939±0.004,0.939±0.004,19.28±0.84s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.986±0.011,0.942±0.002,0.938±0.004,0.938±0.004,34.43±5.83s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.984±0.007,0.942±0.003,0.938±0.006,0.938±0.006,31.54±4.15s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.987±0.006,0.942±0.003,0.938±0.005,0.938±0.005,31.85±3.75s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.987±0.008,0.942±0.002,0.938±0.007,0.938±0.007,31.07±4.26s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.983±0.009,0.942±0.002,0.939±0.007,0.939±0.007,29.85±3.05s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.979±0.005,0.942±0.003,0.939±0.004,0.939±0.004,50.90±1.77s
LRGCN,Photo,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.986±0.005,0.942±0.002,0.939±0.005,0.939±0.005,54.24±4.66s
