model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.861±0.009,0.832±0.003,0.833±0.006,0.833±0.006,1.91±0.60s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.861±0.009,0.832±0.004,0.833±0.006,0.833±0.006,1.89±0.60s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.859±0.010,0.832±0.003,0.833±0.007,0.833±0.007,1.88±0.64s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.859±0.010,0.832±0.003,0.832±0.006,0.832±0.006,1.87±0.63s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.859±0.005,0.832±0.006,0.833±0.003,0.833±0.003,1.98±0.57s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.860±0.004,0.832±0.003,0.830±0.003,0.830±0.003,2.73±0.29s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.859±0.006,0.832±0.006,0.833±0.003,0.833±0.003,1.99±0.58s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.861±0.005,0.832±0.003,0.829±0.004,0.829±0.004,2.75±0.30s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.854±0.005,0.831±0.003,0.827±0.002,0.827±0.002,1.72±0.15s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.853±0.006,0.831±0.003,0.827±0.002,0.827±0.002,1.70±0.16s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.861±0.009,0.831±0.002,0.833±0.007,0.833±0.007,2.23±0.66s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.855±0.004,0.831±0.005,0.829±0.003,0.829±0.003,2.29±0.23s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.860±0.009,0.831±0.002,0.833±0.007,0.833±0.007,2.21±0.66s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.855±0.003,0.831±0.005,0.829±0.003,0.829±0.003,2.28±0.23s
Goodie,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.854±0.004,0.830±0.005,0.830±0.003,0.830±0.003,2.33±0.30s
