model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.935±0.005,0.890±0.003,0.865±0.002,0.865±0.002,15.07±2.24s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.937±0.002,0.890±0.004,0.865±0.003,0.865±0.003,15.80±1.33s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.938±0.001,0.890±0.004,0.866±0.003,0.866±0.003,19.47±1.13s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.935±0.003,0.889±0.004,0.867±0.002,0.867±0.002,13.97±1.54s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.936±0.004,0.889±0.004,0.866±0.003,0.866±0.003,14.11±1.94s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.936±0.005,0.889±0.003,0.867±0.003,0.867±0.003,15.35±1.71s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.935±0.004,0.889±0.004,0.865±0.003,0.865±0.003,14.78±1.68s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.941±0.003,0.889±0.004,0.863±0.003,0.863±0.003,18.87±2.65s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.939±0.003,0.889±0.004,0.866±0.002,0.866±0.002,18.73±1.45s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.938±0.002,0.889±0.004,0.865±0.002,0.865±0.002,18.40±1.08s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.940±0.004,0.889±0.004,0.864±0.003,0.864±0.003,32.79±1.70s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.936±0.003,0.888±0.004,0.867±0.003,0.867±0.003,15.71±0.56s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.936±0.004,0.888±0.004,0.866±0.003,0.866±0.003,15.47±1.79s
LRGCN,Pubmed,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.936±0.004,0.888±0.004,0.866±0.004,0.866±0.004,15.69±1.53s
