model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.772±0.098,0.694±0.044,0.633±0.071,0.633±0.071,1.79±0.78s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.772±0.098,0.694±0.044,0.633±0.071,0.633±0.071,1.76±0.68s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.755±0.079,0.694±0.047,0.647±0.070,0.647±0.070,1.64±0.51s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.755±0.079,0.694±0.047,0.647±0.070,0.647±0.070,0.73±0.12s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.780±0.086,0.692±0.047,0.641±0.070,0.641±0.070,1.57±0.62s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.776±0.084,0.692±0.045,0.648±0.066,0.648±0.066,1.63±0.76s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.780±0.086,0.692±0.047,0.641±0.070,0.641±0.070,0.75±0.13s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.776±0.084,0.692±0.045,0.648±0.066,0.648±0.066,0.75±0.14s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.754±0.095,0.691±0.044,0.633±0.078,0.633±0.078,1.62±0.80s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.754±0.095,0.691±0.044,0.633±0.078,0.633±0.078,1.40±0.44s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.788±0.084,0.691±0.047,0.634±0.073,0.634±0.073,1.69±0.64s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.788±0.084,0.691±0.047,0.634±0.073,0.634±0.073,0.77±0.12s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.780±0.083,0.690±0.049,0.639±0.065,0.639±0.065,1.27±0.56s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.780±0.083,0.690±0.049,0.639±0.065,0.639±0.065,0.71±0.12s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.758±0.077,0.689±0.047,0.632±0.081,0.632±0.081,1.51±0.54s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.758±0.077,0.689±0.047,0.632±0.081,0.632±0.081,1.66±0.68s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.766±0.093,0.683±0.041,0.640±0.066,0.640±0.066,1.43±0.63s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.766±0.093,0.683±0.041,0.640±0.066,0.640±0.066,0.72±0.18s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.763±0.103,0.682±0.061,0.628±0.080,0.628±0.080,1.65±0.50s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.763±0.103,0.682±0.061,0.628±0.080,0.628±0.080,1.39±0.40s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.757±0.071,0.681±0.051,0.633±0.062,0.633±0.062,1.48±0.52s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.751±0.076,0.681±0.044,0.637±0.057,0.637±0.057,1.37±0.37s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.757±0.071,0.681±0.051,0.634±0.065,0.634±0.065,1.46±0.49s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.751±0.076,0.681±0.044,0.637±0.057,0.637±0.057,1.58±0.52s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.790±0.081,0.681±0.045,0.640±0.067,0.640±0.067,1.58±0.66s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.751±0.059,0.681±0.054,0.642±0.064,0.642±0.064,0.72±0.10s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.790±0.081,0.681±0.045,0.640±0.067,0.640±0.067,0.75±0.17s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.751±0.059,0.681±0.054,0.642±0.064,0.642±0.064,0.70±0.10s
Goodie,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.777±0.076,0.680±0.052,0.637±0.063,0.637±0.063,1.62±0.57s
