model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.984±0.031,0.856±0.044,0.723±0.060,0.723±0.060,1.19±0.36s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.992±0.024,0.850±0.040,0.727±0.053,0.727±0.053,0.46±0.24s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.986±0.021,0.850±0.037,0.738±0.066,0.738±0.066,0.79±0.17s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.977±0.039,0.849±0.036,0.692±0.062,0.692±0.062,1.09±0.30s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.988±0.022,0.844±0.050,0.728±0.041,0.728±0.041,0.65±0.27s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.988±0.028,0.842±0.045,0.746±0.053,0.746±0.053,0.73±0.34s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.982±0.040,0.842±0.035,0.704±0.061,0.704±0.061,1.09±0.34s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.994±0.015,0.841±0.060,0.745±0.045,0.745±0.045,0.49±0.26s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.987±0.026,0.840±0.044,0.729±0.045,0.729±0.045,0.58±0.27s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.982±0.038,0.838±0.046,0.737±0.051,0.737±0.051,0.80±0.37s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.990±0.021,0.834±0.046,0.734±0.057,0.734±0.057,0.83±0.23s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.986±0.038,0.834±0.050,0.739±0.056,0.739±0.056,0.82±0.13s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.979±0.036,0.831±0.049,0.740±0.056,0.740±0.056,0.44±0.20s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.988±0.027,0.831±0.047,0.717±0.063,0.717±0.063,1.18±0.34s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.990±0.016,0.830±0.051,0.707±0.062,0.707±0.062,1.27±0.34s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.984±0.028,0.830±0.047,0.751±0.065,0.751±0.065,0.50±0.31s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.959±0.058,0.830±0.047,0.711±0.057,0.711±0.057,1.12±0.33s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.972±0.053,0.825±0.051,0.742±0.052,0.742±0.052,0.66±0.26s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.962±0.052,0.822±0.050,0.707±0.063,0.707±0.063,1.03±0.62s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.961±0.052,0.821±0.050,0.722±0.061,0.722±0.061,0.80±0.42s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.966±0.043,0.820±0.042,0.687±0.072,0.687±0.072,0.77±0.34s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.958±0.057,0.820±0.054,0.731±0.057,0.731±0.057,0.72±0.18s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.978±0.036,0.819±0.047,0.717±0.048,0.717±0.048,1.11±0.33s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.952±0.069,0.817±0.055,0.715±0.046,0.715±0.046,1.22±0.37s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.125,0.99,1.0,0.982±0.028,0.816±0.048,0.719±0.058,0.719±0.058,1.81±0.23s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.984±0.034,0.816±0.054,0.724±0.061,0.724±0.061,1.44±0.46s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.988±0.027,0.816±0.040,0.728±0.056,0.728±0.056,1.20±0.28s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.966±0.052,0.816±0.055,0.724±0.047,0.724±0.047,0.77±0.25s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.969±0.047,0.815±0.057,0.728±0.056,0.728±0.056,0.73±0.21s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.951±0.079,0.813±0.055,0.713±0.067,0.713±0.067,1.19±0.38s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.988±0.023,0.811±0.053,0.729±0.069,0.729±0.069,0.88±0.30s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.988±0.027,0.811±0.046,0.716±0.051,0.716±0.051,0.95±0.42s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.99,1.0,0.983±0.035,0.810±0.056,0.724±0.067,0.724±0.067,1.70±0.43s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.963±0.049,0.810±0.053,0.738±0.052,0.738±0.052,0.74±0.24s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.99,1.0,0.974±0.048,0.809±0.043,0.704±0.055,0.704±0.055,1.92±0.41s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.936±0.080,0.809±0.051,0.724±0.050,0.724±0.050,1.21±0.38s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.959±0.058,0.806±0.062,0.729±0.060,0.729±0.060,1.70±0.50s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.957±0.066,0.806±0.054,0.725±0.065,0.725±0.065,0.63±0.35s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.959±0.057,0.806±0.050,0.724±0.050,0.724±0.050,0.43±0.24s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.951±0.065,0.806±0.047,0.721±0.041,0.721±0.041,1.26±0.30s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.957±0.050,0.805±0.054,0.738±0.052,0.738±0.052,0.73±0.30s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.975±0.047,0.804±0.054,0.731±0.068,0.731±0.068,1.19±0.25s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.969±0.047,0.802±0.061,0.715±0.055,0.715±0.055,1.84±0.40s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.942±0.072,0.802±0.047,0.714±0.045,0.714±0.045,0.72±0.40s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.973±0.054,0.801±0.051,0.738±0.047,0.738±0.047,0.85±0.24s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.970±0.066,0.800±0.061,0.729±0.042,0.729±0.042,0.80±0.17s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.955±0.071,0.798±0.057,0.731±0.061,0.731±0.061,0.73±0.22s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.970±0.053,0.798±0.043,0.727±0.046,0.727±0.046,0.96±0.38s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.936±0.073,0.797±0.053,0.716±0.061,0.716±0.061,0.80±0.38s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.980±0.033,0.796±0.051,0.704±0.054,0.704±0.054,1.48±0.58s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.977±0.035,0.796±0.050,0.729±0.057,0.729±0.057,0.75±0.16s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.5,0.99,1.0,0.955±0.065,0.795±0.050,0.718±0.054,0.718±0.054,1.06±0.26s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.971±0.038,0.795±0.039,0.693±0.071,0.693±0.071,1.65±0.66s
LRGCN,Texas,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.924±0.079,0.795±0.057,0.712±0.058,0.712±0.058,1.19±0.37s
