model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.777±0.095,0.635±0.034,0.597±0.058,0.597±0.058,2.13±0.75s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.777±0.095,0.635±0.034,0.597±0.058,0.597±0.058,0.89±0.18s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.783±0.105,0.631±0.034,0.587±0.063,0.587±0.063,2.13±0.89s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.779±0.108,0.631±0.035,0.587±0.047,0.587±0.047,2.37±1.09s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.783±0.105,0.631±0.034,0.587±0.063,0.587±0.063,0.92±0.22s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.779±0.109,0.631±0.035,0.588±0.046,0.588±0.046,0.93±0.22s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.779±0.096,0.629±0.034,0.595±0.054,0.595±0.054,2.30±1.05s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.779±0.096,0.629±0.034,0.595±0.054,0.595±0.054,0.91±0.21s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.756±0.110,0.628±0.029,0.581±0.042,0.581±0.042,2.11±0.79s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.756±0.110,0.628±0.029,0.581±0.042,0.581±0.042,0.88±0.21s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.757±0.097,0.627±0.034,0.587±0.048,0.587±0.048,1.98±0.70s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.757±0.097,0.627±0.034,0.587±0.048,0.587±0.048,0.87±0.21s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.783±0.099,0.625±0.035,0.577±0.042,0.577±0.042,1.74±0.56s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.783±0.099,0.625±0.035,0.577±0.042,0.577±0.042,1.87±0.78s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.741±0.122,0.623±0.043,0.569±0.077,0.569±0.077,1.94±0.71s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.741±0.122,0.623±0.043,0.569±0.077,0.569±0.077,1.86±0.99s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.784±0.091,0.621±0.041,0.580±0.040,0.580±0.040,1.75±0.90s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.784±0.091,0.621±0.041,0.580±0.040,0.580±0.040,2.06±1.07s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.723±0.117,0.618±0.051,0.558±0.070,0.558±0.070,1.83±0.71s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.723±0.117,0.618±0.051,0.560±0.074,0.560±0.074,1.94±0.90s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.800±0.098,0.618±0.046,0.570±0.046,0.570±0.046,1.68±0.67s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.800±0.098,0.618±0.046,0.570±0.046,0.570±0.046,2.04±0.81s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.713±0.122,0.615±0.053,0.561±0.082,0.561±0.082,1.70±0.69s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.704±0.105,0.615±0.051,0.569±0.072,0.569±0.072,1.74±0.86s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.712±0.121,0.615±0.053,0.561±0.082,0.561±0.082,2.04±0.88s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.1,0.704±0.105,0.615±0.051,0.569±0.072,0.569±0.072,1.73±0.85s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.768±0.130,0.613±0.046,0.555±0.051,0.555±0.051,1.79±0.61s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.768±0.130,0.613±0.046,0.555±0.051,0.555±0.051,2.18±0.87s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.757±0.110,0.612±0.037,0.565±0.050,0.565±0.050,1.66±0.65s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.757±0.110,0.612±0.037,0.565±0.050,0.565±0.050,2.04±0.63s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.712±0.137,0.606±0.062,0.551±0.082,0.551±0.082,1.99±0.93s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.712±0.137,0.606±0.062,0.551±0.082,0.551±0.082,1.67±0.83s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.692±0.118,0.605±0.061,0.560±0.077,0.560±0.077,1.43±0.72s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.692±0.118,0.605±0.061,0.560±0.077,0.560±0.077,2.00±0.89s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.715±0.147,0.595±0.051,0.538±0.054,0.538±0.054,1.69±0.77s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.715±0.147,0.595±0.051,0.538±0.054,0.538±0.054,1.85±0.87s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,1.0,0.666±0.147,0.575±0.087,0.543±0.068,0.543±0.068,1.86±1.10s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,1.0,0.666±0.147,0.575±0.087,0.543±0.068,0.543±0.068,0.76±0.35s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.630±0.128,0.563±0.072,0.544±0.076,0.544±0.076,1.64±1.05s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.630±0.128,0.563±0.072,0.544±0.076,0.544±0.076,0.71±0.32s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.635±0.151,0.557±0.085,0.534±0.061,0.534±0.061,2.29±1.68s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.626±0.144,0.557±0.084,0.528±0.069,0.528±0.069,2.89±1.66s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.635±0.151,0.557±0.085,0.534±0.061,0.534±0.061,1.60±1.10s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.626±0.144,0.557±0.084,0.528±0.068,0.528±0.068,1.50±1.08s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.646±0.136,0.548±0.070,0.528±0.063,0.528±0.063,2.36±1.39s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.646±0.136,0.548±0.070,0.528±0.063,0.528±0.063,3.19±1.77s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.641±0.146,0.547±0.069,0.528±0.061,0.528±0.061,2.32±1.30s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.578±0.122,0.547±0.078,0.528±0.061,0.528±0.061,2.12±1.64s
Goodie,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.641±0.146,0.547±0.069,0.528±0.061,0.528±0.061,3.57±2.01s
