model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.996±0.009,0.859±0.042,0.724±0.058,0.724±0.058,1.62±0.47s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.993±0.011,0.858±0.044,0.720±0.058,0.720±0.058,1.19±0.60s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.993±0.016,0.857±0.042,0.745±0.064,0.745±0.064,0.92±0.43s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.991±0.018,0.857±0.038,0.759±0.049,0.759±0.049,1.01±0.35s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.992±0.019,0.854±0.045,0.743±0.059,0.743±0.059,0.67±0.38s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.996±0.007,0.853±0.042,0.735±0.051,0.735±0.051,1.51±0.54s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.989±0.022,0.844±0.040,0.765±0.052,0.765±0.052,0.67±0.44s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.994±0.013,0.839±0.041,0.730±0.062,0.730±0.062,1.73±0.57s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.990±0.015,0.835±0.041,0.733±0.047,0.733±0.047,0.72±0.24s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.985±0.019,0.834±0.039,0.742±0.041,0.742±0.041,0.65±0.27s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.994±0.016,0.833±0.040,0.732±0.062,0.732±0.062,0.70±0.42s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.991±0.014,0.831±0.039,0.741±0.061,0.741±0.061,0.84±0.21s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.997±0.006,0.831±0.036,0.709±0.071,0.709±0.071,1.61±0.54s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.998±0.004,0.830±0.034,0.714±0.058,0.714±0.058,1.16±0.56s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.987±0.023,0.829±0.047,0.716±0.055,0.716±0.055,1.28±0.69s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.995±0.016,0.829±0.041,0.731±0.056,0.731±0.056,0.97±0.37s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.994±0.016,0.828±0.041,0.732±0.051,0.732±0.051,0.95±0.26s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.986±0.021,0.827±0.048,0.713±0.062,0.713±0.062,1.02±0.63s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.985±0.029,0.826±0.046,0.706±0.057,0.706±0.057,1.44±0.51s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.996±0.013,0.826±0.043,0.744±0.059,0.744±0.059,0.80±0.37s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.991±0.020,0.825±0.039,0.736±0.067,0.736±0.067,0.88±0.34s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.998±0.004,0.824±0.032,0.716±0.067,0.716±0.067,1.51±0.58s
LRGCN,Wisconsin,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.979±0.023,0.823±0.042,0.745±0.054,0.745±0.054,0.79±0.26s
